Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	7	10	15	4
Real_Blur	2	[12, 0]	7	10	15	11
Real_Blur	3	[12, 0]	8	10	10	9
Real_Blur	4	[-12, 0]	8	11	10	8
Real_Blur	5	[12, 0]	8	10	15	11
Real_Blur	6	[12, 0]	7	11	5	6
Real_Blur	7	[-12, 0]	7	12	10	9
Real_Blur	8	[12, 0]	6	11	5	0
Real_Blur	9	[-12, 0]	8	10	15	14
Real_Blur	10	[12, 0]	7	12	15	13
Real_Blur	11	[-12, 0]	8	10	15	13
Real_Blur	12	[12, 0]	7	12	15	22
Real_Blur	13	[12, 0]	8	12	10	7
Real_Blur	14	[12, 0]	8	12	5	5
Real_Blur	15	[12, 0]	8	11	5	6
Real_Blur	16	[-12, 0]	7	12	10	13
Real_Blur	17	[-12, 0]	6	12	10	6
Real_Blur	18	[-12, 0]	8	11	10	6
Real_Blur	19	[12, 0]	6	10	10	13
Real_Blur	20	[12, 0]	8	10	10	9
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	6	10	17
Afterimage_Blur	2	[-12, 0]	7	11	7
Afterimage_Blur	3	[-12, 0]	8	11	13
Afterimage_Blur	4	[12, 0]	8	11	21
Afterimage_Blur	5	[12, 0]	8	11	14
Afterimage_Blur	6	[-12, 0]	8	11	9
Afterimage_Blur	7	[-12, 0]	7	12	12
Afterimage_Blur	8	[12, 0]	8	12	15
Afterimage_Blur	9	[-12, 0]	7	12	[]
Afterimage_Blur	10	[-12, 0]	7	12	10
Afterimage_Blur	11	[12, 0]	6	10	9
Afterimage_Blur	12	[12, 0]	6	11	20
Afterimage_Blur	13	[-12, 0]	7	12	7
Afterimage_Blur	14	[12, 0]	6	11	25
Afterimage_Blur	15	[12, 0]	7	10	12
Afterimage_Blur	16	[12, 0]	8	12	10
Afterimage_Blur	17	[12, 0]	8	11	13
Afterimage_Blur	18	[12, 0]	8	10	16
Afterimage_Blur	19	[-12, 0]	7	10	[]
Afterimage_Blur	20	[-12, 0]	7	10	17
Afterimage_Blur	21	[12, 0]	7	12	16
Afterimage_Blur	22	[-12, 0]	8	11	14
Afterimage_Blur	23	[12, 0]	8	10	18
Afterimage_Blur	24	[-12, 0]	8	11	12
Afterimage_Blur	25	[-12, 0]	7	11	18
Afterimage_Blur	26	[12, 0]	8	11	17
Afterimage_Blur	27	[-12, 0]	7	12	19
Afterimage_Blur	28	[12, 0]	6	12	22
Afterimage_Blur	29	[12, 0]	7	11	25
Afterimage_Blur	30	[-12, 0]	8	12	14
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	8
Real_Contrast	2	[12, 0]	7
Real_Contrast	3	[-12, 0]	8
Real_Contrast	4	[-12, 0]	6
Real_Contrast	5	[12, 0]	8
Real_Contrast	6	[12, 0]	8
Real_Contrast	7	[-12, 0]	7
Real_Contrast	8	[12, 0]	6
Real_Contrast	9	[12, 0]	6
Real_Contrast	10	[-12, 0]	7
Real_Contrast	11	[-12, 0]	7
Real_Contrast	12	[-12, 0]	7
Real_Contrast	13	[12, 0]	6
Real_Contrast	14	[12, 0]	8
Real_Contrast	15	[-12, 0]	6
Real_Contrast	16	[12, 0]	7
Real_Contrast	17	[-12, 0]	6
Real_Contrast	18	[12, 0]	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	6	10	3.4397673720004605	4.566085970999666
Afterimage_Contrast	2	[-12.   0.]	6	12	3.023888609000096	7.065152496999872
Afterimage_Contrast	3	[12.  0.]	6	11	2.4243987569998353	6.6827365500003
Afterimage_Contrast	4	[-12.   0.]	7	12	2.4909782990007443	2.731620390999524
Afterimage_Contrast	5	[-12.   0.]	6	12	3.040627664000567	4.232934314999511
Afterimage_Contrast	6	[-12.   0.]	6	10	5.159192925000752	4.747628178999548
Afterimage_Contrast	7	[-12.   0.]	6	10	2.058285324999815	3.6997950080003648
Afterimage_Contrast	8	[12.  0.]	7	10	3.040894980000303	4.234254002999478
Afterimage_Contrast	9	[-12.   0.]	8	12	1.8247378390005906	4.332391136999831
Afterimage_Contrast	10	[-12.   0.]	6	10	1.4749211589996776	4.63028304799991
Afterimage_Contrast	11	[12.  0.]	8	11	3.2398338140001215	6.064972272999512
Afterimage_Contrast	12	[12.  0.]	6	12	3.2566054040007657	6.632810099999915
Afterimage_Contrast	13	[12.  0.]	6	11	1.4745404100003725	6.018154370999582
Afterimage_Contrast	14	[12.  0.]	6	12	1.6583851349996621	3.13213781200011
Afterimage_Contrast	15	[-12.   0.]	7	11	2.556634120999661	3.7650269579999076
Afterimage_Contrast	16	[-12.   0.]	7	11	1.6083574029999	5.115659574000347
Afterimage_Contrast	17	[12.  0.]	7	12	2.8419901900006153	4.31580422099978
Afterimage_Contrast	18	[12.  0.]	7	10	2.1913035400002627	3.568555600999389
Afterimage_Contrast	19	[12.  0.]	8	10	1.8898560259995065	2.9663205630004086
Afterimage_Contrast	20	[-12.   0.]	8	12	1.34135374699963	8.798796518999552
Afterimage_Contrast	21	[12.  0.]	7	11	2.1260282989996995	4.466511896999691
Afterimage_Contrast	22	[-12.   0.]	6	12	1.3244250879997708	6.682373489000383
Afterimage_Contrast	23	[12.  0.]	7	11	1.3756899620002514	5.1675056839994795
Afterimage_Contrast	24	[12.  0.]	8	10	2.173245639000015	3.800580539999828
Afterimage_Contrast	25	[-12.   0.]	8	10	1.2590177100000801	3.9147016440001607
Afterimage_Contrast	26	[12.  0.]	8	12	1.3066216300003362	5.418173930999728
Afterimage_Contrast	27	[12.  0.]	6	12	[]	[]
Afterimage_Contrast	28	[-12.   0.]	7	11	1.525118288000158	5.851272130000325
Afterimage_Contrast	29	[-12.   0.]	7	12	2.1252646069997354	4.3990886230003525
Afterimage_Contrast	30	[-12.   0.]	8	12	2.6593394239998815	2.6826088210000307
Afterimage_Contrast	31	[12.  0.]	7	10	2.206902717000048	3.9181466769996405
Afterimage_Contrast	32	[-12.   0.]	7	12	4.094436250999934	3.6136467159994936
Afterimage_Contrast	33	[12.  0.]	7	11	2.5079213119997803	4.815951765000136
Afterimage_Contrast	34	[-12.   0.]	6	11	3.0748782390000997	5.086011565999797
Afterimage_Contrast	35	[-12.   0.]	8	12	3.1410193279998566	3.549788924000495
Afterimage_Contrast	36	[12.  0.]	7	11	2.2748399700003574	4.182467862999147
Afterimage_Contrast	37	[12.  0.]	7	12	1.9269875999998476	3.6313688320005895
Afterimage_Contrast	38	[12.  0.]	7	12	2.091677764000451	4.849103870000363
Afterimage_Contrast	39	[-12.   0.]	7	10	[]	[]
Afterimage_Contrast	40	[-12.   0.]	8	12	1.4074546880001435	3.3147638629998255
Afterimage_Contrast	41	[-12.   0.]	6	10	1.1090444940000452	4.332677114000035
Afterimage_Contrast	42	[12.  0.]	8	12	1.340796563999902	3.7000574209996557
Afterimage_Contrast	43	[-12.   0.]	7	12	0.9573907960002543	4.149058326999693
