Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	6	10	15	None
Real_Blur	2	[12, 0]	6	11	15	9
Real_Blur	3	[-12, 0]	6	10	10	14
Real_Blur	4	[12, 0]	6	12	15	13
Real_Blur	5	[-12, 0]	8	11	5	8
Real_Blur	6	[12, 0]	6	10	5	7
Real_Blur	7	[-12, 0]	7	12	5	6
Real_Blur	8	[12, 0]	6	11	5	7
Real_Blur	9	[12, 0]	6	11	10	5
Real_Blur	10	[12, 0]	8	12	10	9
Real_Blur	11	[-12, 0]	7	10	5	6
Real_Blur	12	[12, 0]	7	10	5	5
Real_Blur	13	[-12, 0]	7	10	10	9
Real_Blur	14	[-12, 0]	8	11	15	21
Real_Blur	15	[12, 0]	8	12	15	9
Real_Blur	16	[12, 0]	6	12	10	4
Real_Blur	17	[-12, 0]	8	12	15	21
Real_Blur	18	[12, 0]	8	12	5	5
Real_Blur	19	[12, 0]	6	12	15	9
Real_Blur	20	[12, 0]	7	12	5	6
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	7	11	16
Afterimage_Blur	2	[12, 0]	6	12	8
Afterimage_Blur	3	[-12, 0]	7	11	16
Afterimage_Blur	4	[12, 0]	7	10	12
Afterimage_Blur	5	[12, 0]	7	10	10
Afterimage_Blur	6	[12, 0]	6	12	11
Afterimage_Blur	7	[12, 0]	8	10	8
Afterimage_Blur	8	[-12, 0]	6	12	13
Afterimage_Blur	9	[-12, 0]	6	10	14
Afterimage_Blur	10	[-12, 0]	6	12	10
Afterimage_Blur	11	[12, 0]	6	10	20
Afterimage_Blur	12	[12, 0]	6	11	9
Afterimage_Blur	13	[-12, 0]	8	11	9
Afterimage_Blur	14	[-12, 0]	7	10	7
Afterimage_Blur	15	[-12, 0]	6	11	12
Afterimage_Blur	16	[12, 0]	7	12	[]
Afterimage_Blur	17	[-12, 0]	7	12	9
Afterimage_Blur	18	[-12, 0]	6	11	9
Afterimage_Blur	19	[-12, 0]	8	12	7
Afterimage_Blur	20	[12, 0]	7	12	11
Afterimage_Blur	21	[-12, 0]	8	12	9
Afterimage_Blur	22	[12, 0]	8	12	[]
Afterimage_Blur	23	[12, 0]	6	11	13
Afterimage_Blur	24	[-12, 0]	6	10	8
Afterimage_Blur	25	[-12, 0]	7	11	10
Afterimage_Blur	26	[12, 0]	7	10	[]
Afterimage_Blur	27	[12, 0]	6	10	6
Afterimage_Blur	28	[-12, 0]	7	12	10
Afterimage_Blur	29	[12, 0]	6	10	9
Afterimage_Blur	30	[12, 0]	6	11	9
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	7
Real_Contrast	2	[-12, 0]	8
Real_Contrast	3	[-12, 0]	8
Real_Contrast	4	[-12, 0]	7
Real_Contrast	5	[-12, 0]	6
Real_Contrast	6	[-12, 0]	7
Real_Contrast	7	[12, 0]	8
Real_Contrast	8	[12, 0]	7
Real_Contrast	9	[-12, 0]	7
Real_Contrast	10	[12, 0]	7
Real_Contrast	11	[12, 0]	6
Real_Contrast	12	[12, 0]	7
Real_Contrast	13	[-12, 0]	7
Real_Contrast	14	[12, 0]	7
Real_Contrast	15	[-12, 0]	6
Real_Contrast	16	[12, 0]	7
Real_Contrast	17	[12, 0]	6
Real_Contrast	18	[12, 0]	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[-12.   0.]	6	11	3.855012854000961	3.16604084699793
Afterimage_Contrast	2	[12.  0.]	7	11	3.1568231799974455	3.7492355829963344
Afterimage_Contrast	3	[12.  0.]	7	10	2.655782490001002	5.549117604001367
Afterimage_Contrast	4	[-12.   0.]	7	11	2.474924099005875	3.7825665189957363
Afterimage_Contrast	5	[-12.   0.]	7	10	1.9399244189989986	5.1824998350057285
Afterimage_Contrast	6	[-12.   0.]	6	11	1.926705915000639	5.5814547129994025
Afterimage_Contrast	7	[12.  0.]	7	11	2.5069632349986932	3.2329106730030617
Afterimage_Contrast	8	[-12.   0.]	8	12	1.4072462270050892	4.532320364000043
Afterimage_Contrast	9	[12.  0.]	6	10	1.373052622002433	2.833445012001903
Afterimage_Contrast	10	[-12.   0.]	8	12	2.006221171002835	4.965851135995763
Afterimage_Contrast	11	[-12.   0.]	6	12	1.5399611719985842	4.099480183998821
Afterimage_Contrast	12	[12.  0.]	6	11	1.4728430820032372	5.215969238997786
Afterimage_Contrast	13	[12.  0.]	6	11	1.7063706700064358	3.5484290209933533
Afterimage_Contrast	14	[12.  0.]	6	10	1.5895826670021052	3.699291324999649
Afterimage_Contrast	15	[-12.   0.]	6	11	1.3229006529945764	5.699108045002504
Afterimage_Contrast	16	[-12.   0.]	8	12	1.0241449649984133	6.132676874003664
Afterimage_Contrast	17	[-12.   0.]	7	12	1.8728239920019405	4.549334758994519
Afterimage_Contrast	18	[-12.   0.]	6	10	1.1402380149957025	6.665984086001117
Afterimage_Contrast	19	[12.  0.]	8	10	2.824094071998843	2.0156170800037216
Afterimage_Contrast	20	[-12.   0.]	7	12	0.9728383129986469	5.648052680000546
Afterimage_Contrast	21	[-12.   0.]	6	11	1.239309892996971	6.082339893000608
Afterimage_Contrast	22	[12.  0.]	7	10	1.9228380389977247	2.699632036004914
Afterimage_Contrast	23	[-12.   0.]	6	10	1.2228075899984105	6.948764510998444
Afterimage_Contrast	24	[-12.   0.]	6	10	2.1401421549962834	3.4690141680039233
Afterimage_Contrast	25	[12.  0.]	8	10	1.6732994359990698	4.115915877999214
Afterimage_Contrast	26	[12.  0.]	6	10	1.156267268001102	6.382339663003222
Afterimage_Contrast	27	[12.  0.]	6	12	2.7236808219968225	4.199333345997729
Afterimage_Contrast	28	[12.  0.]	6	12	1.7411707919964101	5.816405607001798
Afterimage_Contrast	29	[-12.   0.]	7	12	1.3743526350008324	7.015818744999706
Afterimage_Contrast	30	[12.  0.]	8	11	2.4568259840016253	3.714635680997162
Afterimage_Contrast	31	[12.  0.]	6	11	2.4402034630038543	4.499554338995949
Afterimage_Contrast	32	[12.  0.]	6	11	1.2395545020044665	5.91572788299527
Afterimage_Contrast	33	[-12.   0.]	7	10	1.1083679220027989	5.948815800999
Afterimage_Contrast	34	[-12.   0.]	8	11	1.2747133390003	5.316078080002626
Afterimage_Contrast	35	[-12.   0.]	8	11	1.8422333490016172	5.065795737995359
Afterimage_Contrast	36	[-12.   0.]	6	10	1.0723173150036018	5.98191242699977
Afterimage_Contrast	37	[-12.   0.]	8	11	1.1915396679978585	6.115710496997053
Afterimage_Contrast	38	[12.  0.]	6	12	3.006495444999018	4.382635075002327
Afterimage_Contrast	39	[-12.   0.]	6	11	1.3233044640001026	6.365939925999555
Afterimage_Contrast	40	[-12.   0.]	6	10	1.2070917550008744	6.5495320499976515
Afterimage_Contrast	41	[12.  0.]	6	11	3.5392535089995363	3.632386782002868
Afterimage_Contrast	42	[12.  0.]	7	11	1.839816380001139	5.714797207998345
Afterimage_Contrast	43	[12.  0.]	6	10	1.3396780479961308	5.482831601002545
