Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value			
Real_Blur	1	"[-12, 0]"	4	12	15	None			
Real_Blur	2	"[12, 0]"	5	11	10	None			
Real_Blur	3	"[12, 0]"	5	11	10	12			
Real_Blur	4	"[-12, 0]"	4	12	5	14			
Real_Blur	5	"[12, 0]"	6	11	15	14			
Real_Blur	6	"[-12, 0]"	5	12	10	10			
Real_Blur	7	"[12, 0]"	4	10	5	None			
Real_Blur	8	"[12, 0]"	6	12	15	19			
Real_Blur	9	"[12, 0]"	6	11	10	15			
Real_Blur	10	"[12, 0]"	6	10	15	20			
Real_Blur	11	"[12, 0]"	4	10	5	14			
Real_Blur	12	"[12, 0]"	4	12	10	11			
Real_Blur	13	"[-12, 0]"	4	10	5	5			
Real_Blur	14	"[-12, 0]"	6	10	5	None			
Real_Blur	15	"[12, 0]"	4	11	10	10			
Real_Blur	16	"[12, 0]"	6	11	5	5			
Real_Blur	17	"[12, 0]"	6	12	15	12			
Real_Blur	18	"[-12, 0]"	4	12	15	25			
Real_Blur	19	"[12, 0]"	6	12	15	14			
Real_Blur	20	"[12, 0]"	5	11	15	None			
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value				
Afterimage_Blur	1	"[-12, 0]"	5	10	1				
Afterimage_Blur	2	"[12, 0]"	6	11	1				
Afterimage_Blur	3	"[-12, 0]"	5	11	1				
Afterimage_Blur	4	"[12, 0]"	6	12	15				
Afterimage_Blur	5	"[-12, 0]"	4	11	25				
Afterimage_Blur	6	"[-12, 0]"	6	12	[]				
Afterimage_Blur	7	"[12, 0]"	6	11	[]				
Afterimage_Blur	8	"[-12, 0]"	5	12	25				
Afterimage_Blur	9	"[12, 0]"	6	11	25				
Afterimage_Blur	10	"[12, 0]"	4	11	11				
Afterimage_Blur	11	"[12, 0]"	4	10	20				
Afterimage_Blur	12	"[-12, 0]"	6	12	19				
Afterimage_Blur	13	"[-12, 0]"	5	12	[]				
Afterimage_Blur	14	"[-12, 0]"	4	11	[]				
