Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	4	12	10	11
Real_Blur	2	[-12, 0]	5	12	10	12
Real_Blur	3	[-12, 0]	5	10	5	None
Real_Blur	4	[12, 0]	5	12	5	10
Real_Blur	5	[12, 0]	6	10	15	12
Real_Blur	6	[-12, 0]	6	10	15	None
Real_Blur	7	[-12, 0]	4	12	10	11
Real_Blur	8	[-12, 0]	5	11	5	6
Real_Blur	9	[-12, 0]	5	12	15	9
Real_Blur	10	[12, 0]	6	10	5	10
Real_Blur	11	[12, 0]	4	11	10	11
Real_Blur	12	[12, 0]	4	10	10	3
Real_Blur	13	[12, 0]	6	12	10	9
Real_Blur	14	[12, 0]	6	12	10	14
Real_Blur	15	[-12, 0]	5	11	15	6
Real_Blur	16	[12, 0]	5	11	10	12
Real_Blur	17	[12, 0]	6	11	5	3
Real_Blur	18	[-12, 0]	4	10	10	12
Real_Blur	19	[-12, 0]	5	11	10	18
Real_Blur	20	[-12, 0]	6	12	5	11
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	6	12	2
Afterimage_Blur	2	[-12, 0]	4	10	5
Afterimage_Blur	3	[-12, 0]	6	12	6
Afterimage_Blur	4	[12, 0]	4	12	3
Afterimage_Blur	5	[-12, 0]	6	10	4
Afterimage_Blur	6	[-12, 0]	5	12	3
Afterimage_Blur	7	[12, 0]	4	11	2
Afterimage_Blur	8	[-12, 0]	6	12	8
Afterimage_Blur	9	[12, 0]	6	10	7
Afterimage_Blur	10	[12, 0]	5	11	5
Afterimage_Blur	11	[12, 0]	4	12	8
Afterimage_Blur	12	[-12, 0]	6	10	4
Afterimage_Blur	13	[12, 0]	6	12	8
Afterimage_Blur	14	[12, 0]	4	10	5
Afterimage_Blur	15	[12, 0]	4	12	8
Afterimage_Blur	16	[12, 0]	6	11	7
Afterimage_Blur	17	[-12, 0]	6	11	5
Afterimage_Blur	18	[12, 0]	6	10	[]
Afterimage_Blur	19	[12, 0]	5	12	4
Afterimage_Blur	20	[-12, 0]	5	12	5
Afterimage_Blur	21	[-12, 0]	6	12	4
Afterimage_Blur	22	[12, 0]	4	10	5
Afterimage_Blur	23	[12, 0]	5	11	3
Afterimage_Blur	24	[12, 0]	5	10	4
Afterimage_Blur	25	[-12, 0]	5	10	2
Afterimage_Blur	26	[12, 0]	5	10	5
Afterimage_Blur	27	[-12, 0]	6	10	9
Afterimage_Blur	28	[-12, 0]	5	11	7
Afterimage_Blur	29	[-12, 0]	5	12	8
Afterimage_Blur	30	[-12, 0]	5	11	10
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	6
Real_Contrast	2	[-12, 0]	4
Real_Contrast	3	[-12, 0]	4
Real_Contrast	4	[-12, 0]	6
Real_Contrast	5	[12, 0]	5
Real_Contrast	6	[12, 0]	5
Real_Contrast	7	[-12, 0]	6
Real_Contrast	8	[-12, 0]	5
Real_Contrast	9	[12, 0]	6
Real_Contrast	10	[12, 0]	6
Real_Contrast	11	[12, 0]	6
Real_Contrast	12	[12, 0]	5
Real_Contrast	13	[12, 0]	6
Real_Contrast	14	[-12, 0]	5
Real_Contrast	15	[-12, 0]	6
Real_Contrast	16	[12, 0]	5
Real_Contrast	17	[-12, 0]	4
Real_Contrast	18	[12, 0]	5
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	4	10	0.12500672502210364	1.1322491739992984
Afterimage_Contrast	2	[12.  0.]	4	11	0.3428143380442634	0.8308943449519575
Afterimage_Contrast	3	[-12.   0.]	4	12	0.65690739400452	2.116408810019493
Afterimage_Contrast	4	[-12.   0.]	4	10	0.3911096060182899	2.2538226089673117
Afterimage_Contrast	5	[-12.   0.]	4	12	0.1908205560175702	6.417423200968187
Afterimage_Contrast	6	[-12.   0.]	4	10	0.06082367501221597	4.430205227981787
Afterimage_Contrast	7	[-12.   0.]	6	10	0.07752136496128514	4.749899381014984
Afterimage_Contrast	8	[-12.   0.]	4	10	0.10236475296551362	9.432235284009948
Afterimage_Contrast	9	[12.  0.]	6	12	0.11014368996256962	2.8798514300142415
Afterimage_Contrast	10	[12.  0.]	4	12	0.22042379900813103	1.052215173956938
Afterimage_Contrast	11	[12.  0.]	6	11	0.25827570899855345	2.768330094986595
Afterimage_Contrast	12	[-12.   0.]	5	11	0.09150455798953772	3.4661181190167554
Afterimage_Contrast	13	[-12.   0.]	4	12	0.15870759001700208	2.799296648008749
Afterimage_Contrast	14	[12.  0.]	4	12	0.1723383929929696	4.768943516013678
Afterimage_Contrast	15	[12.  0.]	4	10	0.269978151016403	1.8993790090316907
Afterimage_Contrast	16	[12.  0.]	5	12	1.1573055860353634	2.3323363669915125
Afterimage_Contrast	17	[12.  0.]	6	12	0.20656582002993673	2.0026699400041252
Afterimage_Contrast	18	[-12.   0.]	5	12	0.1885952790034935	4.899253680021502
Afterimage_Contrast	19	[-12.   0.]	5	10	0.11074651504168287	5.413303993991576
Afterimage_Contrast	20	[12.  0.]	6	12	0.02901327796280384	6.898815438034944
Afterimage_Contrast	21	[12.  0.]	4	11	0.05957033101003617	5.296009975019842
Afterimage_Contrast	22	[-12.   0.]	6	12	0.13659591699251905	3.58465731801698
Afterimage_Contrast	23	[-12.   0.]	4	11	0.12075720401480794	2.468358777987305
Afterimage_Contrast	24	[-12.   0.]	6	12	0.12528095295419917	3.4659326590481214
Afterimage_Contrast	25	[12.  0.]	6	11	0.0876903539756313	6.351877762994263
Afterimage_Contrast	26	[12.  0.]	6	11	0.075284056016244	3.90141999500338
Afterimage_Contrast	27	[-12.   0.]	6	11	0.0241826560231857	5.266038666013628
Afterimage_Contrast	28	[12.  0.]	6	11	0.7902476059971377	3.618880751018878
Afterimage_Contrast	29	[-12.   0.]	6	11	0.13531360699562356	8.70120810600929
Afterimage_Contrast	30	[12.  0.]	6	11	0.3555146889993921	2.1203506179735996
Afterimage_Contrast	31	[12.  0.]	5	10	0.15841420099604875	5.115785947011318
Afterimage_Contrast	32	[-12.   0.]	4	12	0.20595322200097144	8.631190037995111
Afterimage_Contrast	33	[-12.   0.]	4	12	0.042759764997754246	3.0326671359944157
Afterimage_Contrast	34	[-12.   0.]	6	11	0.22396010800730437	2.0813579090172425
Afterimage_Contrast	35	[12.  0.]	5	12	1.5085609850357287	6.816191730962601
Afterimage_Contrast	36	[12.  0.]	4	10	0.23792743595549837	2.5005714440485463
Afterimage_Contrast	37	[12.  0.]	5	10	0.1230683570029214	4.535583543009125
Afterimage_Contrast	38	[-12.   0.]	4	12	0.39532695995876566	2.866183828038629
Afterimage_Contrast	39	[-12.   0.]	6	10	0.023532275983598083	3.348428779048845
Afterimage_Contrast	40	[12.  0.]	5	12	0.3083116820198484	1.9165760159958154
Afterimage_Contrast	41	[-12.   0.]	5	10	0.02675054903374985	4.233205110998824
Afterimage_Contrast	42	[12.  0.]	4	10	0.5244103099685162	5.498735533037689
