Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	4	12	10	11
Real_Blur	2	[12, 0]	5	12	10	17
Real_Blur	3	[12, 0]	4	11	10	23
Real_Blur	4	[12, 0]	6	10	15	17
Real_Blur	5	[-12, 0]	4	11	5	6
Real_Blur	6	[12, 0]	6	11	15	11
Real_Blur	7	[12, 0]	5	10	5	4
Real_Blur	8	[12, 0]	6	11	10	8
Real_Blur	9	[12, 0]	6	10	10	15
Real_Blur	10	[12, 0]	6	12	5	19
Real_Blur	11	[-12, 0]	6	10	5	5
Real_Blur	12	[-12, 0]	6	10	15	8
Real_Blur	13	[-12, 0]	5	11	15	11
Real_Blur	14	[12, 0]	6	12	15	13
Real_Blur	15	[-12, 0]	6	11	15	8
Real_Blur	16	[-12, 0]	4	10	15	6
Real_Blur	17	[-12, 0]	5	12	10	17
Real_Blur	18	[-12, 0]	5	11	10	12
Real_Blur	19	[12, 0]	5	10	5	13
Real_Blur	20	[12, 0]	4	11	10	10
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	4	10	11
Afterimage_Blur	2	[12, 0]	6	10	12
Afterimage_Blur	3	[-12, 0]	5	12	21
Afterimage_Blur	4	[-12, 0]	5	12	9
Afterimage_Blur	5	[12, 0]	5	12	13
Afterimage_Blur	6	[12, 0]	4	11	11
Afterimage_Blur	7	[-12, 0]	5	12	10
Afterimage_Blur	8	[-12, 0]	4	10	11
Afterimage_Blur	9	[-12, 0]	6	10	11
Afterimage_Blur	10	[-12, 0]	5	12	13
Afterimage_Blur	11	[12, 0]	4	11	23
Afterimage_Blur	12	[12, 0]	6	10	13
Afterimage_Blur	13	[-12, 0]	5	11	15
Afterimage_Blur	14	[-12, 0]	5	11	19
Afterimage_Blur	15	[12, 0]	5	12	6
Afterimage_Blur	16	[12, 0]	4	12	12
Afterimage_Blur	17	[-12, 0]	4	12	11
Afterimage_Blur	18	[12, 0]	5	11	9
Afterimage_Blur	19	[-12, 0]	4	12	6
Afterimage_Blur	20	[-12, 0]	4	12	12
Afterimage_Blur	21	[-12, 0]	5	11	10
Afterimage_Blur	22	[12, 0]	6	12	15
Afterimage_Blur	23	[12, 0]	4	10	17
Afterimage_Blur	24	[12, 0]	5	11	18
Afterimage_Blur	25	[12, 0]	6	12	12
Afterimage_Blur	26	[-12, 0]	6	12	23
Afterimage_Blur	27	[-12, 0]	6	11	16
Afterimage_Blur	28	[12, 0]	4	11	12
Afterimage_Blur	29	[12, 0]	4	11	10
Afterimage_Blur	30	[-12, 0]	4	11	22
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	6
Real_Contrast	2	[-12, 0]	5
Real_Contrast	3	[12, 0]	5
Real_Contrast	4	[12, 0]	6
Real_Contrast	5	[-12, 0]	5
Real_Contrast	6	[-12, 0]	4
Real_Contrast	7	[-12, 0]	5
Real_Contrast	8	[12, 0]	6
Real_Contrast	9	[-12, 0]	4
Real_Contrast	10	[-12, 0]	5
Real_Contrast	11	[12, 0]	4
Real_Contrast	12	[12, 0]	6
Real_Contrast	13	[12, 0]	5
Real_Contrast	14	[12, 0]	5
Real_Contrast	15	[12, 0]	6
Real_Contrast	16	[12, 0]	4
Real_Contrast	17	[-12, 0]	6
Real_Contrast	18	[-12, 0]	6
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	5	12	1.6037234530085698	5.4160820950055495
Afterimage_Contrast	2	[12.  0.]	4	11	2.287153735058382	5.4154016569955274
Afterimage_Contrast	3	[-12.   0.]	4	12	2.1539898780174553	6.715950356912799
Afterimage_Contrast	4	[-12.   0.]	5	10	2.804809074033983	6.065493994974531
Afterimage_Contrast	5	[-12.   0.]	4	10	2.5705950409173965	5.099544305005111
Afterimage_Contrast	6	[12.  0.]	4	12	2.320716875954531	5.0323095209896564
Afterimage_Contrast	7	[-12.   0.]	4	12	2.0703926110873	4.832181544974446
Afterimage_Contrast	8	[-12.   0.]	4	10	2.0730111099546775	7.2340676879975945
Afterimage_Contrast	9	[12.  0.]	4	12	2.2837902299361303	4.799318036995828
Afterimage_Contrast	10	[-12.   0.]	4	12	2.305491699022241	5.951087728026323
Afterimage_Contrast	11	[12.  0.]	4	11	1.5049292830517516	6.366045975941233
Afterimage_Contrast	12	[12.  0.]	4	10	1.5543441710760817	5.434623341890983
Afterimage_Contrast	13	[-12.   0.]	6	10	3.0049238129286095	6.135152302100323
Afterimage_Contrast	14	[12.  0.]	5	12	1.1039891559630632	4.283530866028741
Afterimage_Contrast	15	[-12.   0.]	6	11	1.4567074000369757	6.984118247986771
Afterimage_Contrast	16	[-12.   0.]	5	11	2.0031807660125196	3.698980596032925
Afterimage_Contrast	17	[12.  0.]	4	12	0.8563936650753021	3.3497914699837565
Afterimage_Contrast	18	[12.  0.]	5	12	2.8870034840656444	2.7842568759806454
Afterimage_Contrast	19	[-12.   0.]	6	10	1.5042229569517076	4.566243379027583
Afterimage_Contrast	20	[-12.   0.]	5	11	1.187344843056053	8.981087942956947
Afterimage_Contrast	21	[-12.   0.]	6	10	2.2874205809785053	5.049383832025342
Afterimage_Contrast	22	[-12.   0.]	4	10	2.172365281963721	5.632575559080578
Afterimage_Contrast	23	[12.  0.]	5	12	1.423098711995408	4.549329555011354
Afterimage_Contrast	24	[12.  0.]	5	10	2.7214269259711727	2.8504322540247813
Afterimage_Contrast	25	[12.  0.]	6	12	0.3900262650568038	10.646905621979386
Afterimage_Contrast	26	[12.  0.]	4	10	1.3740945040481165	2.848114770022221
Afterimage_Contrast	27	[-12.   0.]	5	12	2.2892489950172603	5.815875389962457
Afterimage_Contrast	28	[12.  0.]	6	11	1.320922760060057	6.5510465989355
Afterimage_Contrast	29	[-12.   0.]	5	10	2.787541053025052	3.9649883689126
Afterimage_Contrast	30	[-12.   0.]	4	12	1.1420372689608485	4.9680425230180845
Afterimage_Contrast	31	[12.  0.]	4	12	1.2386427009478211	7.8973411010811105
Afterimage_Contrast	32	[12.  0.]	5	10	1.2567952050594613	3.749310950981453
Afterimage_Contrast	33	[-12.   0.]	5	10	2.1578501720214263	4.73148501990363
Afterimage_Contrast	34	[-12.   0.]	5	10	2.6097379690036178	6.213897231966257
Afterimage_Contrast	35	[12.  0.]	6	11	0.9909986980492249	7.717496077995747
Afterimage_Contrast	36	[-12.   0.]	5	11	1.55816285405308	6.815806063939817
Afterimage_Contrast	37	[-12.   0.]	6	11	1.1407573979813606	6.001653654966503
Afterimage_Contrast	38	[12.  0.]	5	12	3.0236324990401044	7.199167352053337
Afterimage_Contrast	39	[-12.   0.]	6	11	1.873426825972274	4.549245093949139
Afterimage_Contrast	40	[12.  0.]	6	12	1.3038330060662702	6.735553778940812
Afterimage_Contrast	41	[-12.   0.]	4	11	2.6083885070402175	6.61738534795586
Afterimage_Contrast	42	[12.  0.]	6	11	1.5089303919812664	3.7830035759834573
Afterimage_Contrast	43	[-12.   0.]	5	12	0.10565406701061875	6.7014501499943435
Afterimage_Contrast	44	[12.  0.]	6	11	0.32369301200378686	5.448898044996895
Afterimage_Contrast	45	[12.  0.]	6	11	2.3413189059356228	5.532256058999337
Afterimage_Contrast	46	[12.  0.]	4	11	0.9899144859518856	7.185583570040762
Afterimage_Contrast	47	[-12.   0.]	5	12	0.3059049660805613	4.515754491905682
Afterimage_Contrast	48	[-12.   0.]	5	11	0.75769656104967	9.051089472020976
Afterimage_Contrast	49	[-12.   0.]	4	11	0.6913397531025112	6.983744222903624
Afterimage_Contrast	50	[-12.   0.]	5	11	2.0065260590054095	3.9491201490163803
Afterimage_Contrast	51	[12.  0.]	6	10	0.8885025409981608	3.5993159810313955
Afterimage_Contrast	52	[12.  0.]	4	12	1.7895736109931022	4.899338781950064
Afterimage_Contrast	53	[12.  0.]	5	12	2.5243334940169007	6.315745954052545
Afterimage_Contrast	54	[12.  0.]	5	10	0.8905388680286705	7.33486049703788
Afterimage_Contrast	55	[12.  0.]	6	10	0.3046040029730648	6.566143988049589
Afterimage_Contrast	56	[-12.   0.]	6	12	1.3271735350135714	6.2521314839832485
Afterimage_Contrast	57	[-12.   0.]	4	12	1.4577855659881607	6.43247847398743
Afterimage_Contrast	58	[12.  0.]	5	12	1.1061420569894835	3.318517414969392
Afterimage_Contrast	59	[12.  0.]	6	11	0.8882107500685379	5.532814514008351
Afterimage_Contrast	60	[-12.   0.]	5	10	0.8224816860165447	3.1164138900348917
