Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	5	11	15	15
Real_Blur	2	[-12, 0]	6	10	5	None
Real_Blur	3	[12, 0]	4	12	10	7
Real_Blur	4	[12, 0]	4	11	15	9
Real_Blur	5	[-12, 0]	4	12	15	12
Real_Blur	6	[-12, 0]	4	10	5	8
Real_Blur	7	[12, 0]	6	10	15	10
Real_Blur	8	[-12, 0]	4	10	10	21
Real_Blur	9	[-12, 0]	5	12	10	13
Real_Blur	10	[12, 0]	5	12	10	18
Real_Blur	11	[-12, 0]	4	11	10	24
Real_Blur	12	[-12, 0]	6	12	15	8
Real_Blur	13	[12, 0]	5	10	5	3
Real_Blur	14	[12, 0]	5	11	15	9
Real_Blur	15	[12, 0]	5	12	10	15
Real_Blur	16	[12, 0]	6	10	5	10
Real_Blur	17	[-12, 0]	6	10	5	8
Real_Blur	18	[-12, 0]	4	12	15	13
Real_Blur	19	[-12, 0]	4	12	15	13
Real_Blur	20	[12, 0]	4	10	10	9
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	5	11	10
Afterimage_Blur	2	[-12, 0]	4	11	8
Afterimage_Blur	3	[-12, 0]	4	12	[]
Afterimage_Blur	4	[-12, 0]	6	11	11
Afterimage_Blur	5	[-12, 0]	5	10	12
Afterimage_Blur	6	[-12, 0]	5	12	9
Afterimage_Blur	7	[-12, 0]	6	12	9
Afterimage_Blur	8	[-12, 0]	5	11	[]
Afterimage_Blur	9	[-12, 0]	6	11	9
Afterimage_Blur	10	[-12, 0]	4	10	11
Afterimage_Blur	11	[12, 0]	5	12	[]
Afterimage_Blur	12	[12, 0]	5	10	[]
Afterimage_Blur	13	[12, 0]	5	10	[]
Afterimage_Blur	14	[12, 0]	6	10	[]
Afterimage_Blur	15	[12, 0]	4	12	16
Afterimage_Blur	16	[12, 0]	5	12	19
Afterimage_Blur	17	[12, 0]	5	11	17
Afterimage_Blur	18	[-12, 0]	6	11	[]
Afterimage_Blur	19	[12, 0]	6	12	[]
Afterimage_Blur	20	[12, 0]	5	12	15
Afterimage_Blur	21	[-12, 0]	4	12	[]
Afterimage_Blur	22	[12, 0]	6	11	17
Afterimage_Blur	23	[12, 0]	5	10	14
Afterimage_Blur	24	[-12, 0]	4	10	[]
Afterimage_Blur	25	[12, 0]	4	12	23
Afterimage_Blur	26	[12, 0]	6	11	[]
Afterimage_Blur	27	[-12, 0]	4	12	21
Afterimage_Blur	28	[-12, 0]	6	10	25
Afterimage_Blur	29	[-12, 0]	4	10	23
Afterimage_Blur	30	[12, 0]	5	10	[]
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[12, 0]	5
Real_Contrast	2	[-12, 0]	4
Real_Contrast	3	[-12, 0]	4
Real_Contrast	4	[-12, 0]	4
Real_Contrast	5	[12, 0]	4
Real_Contrast	6	[-12, 0]	5
Real_Contrast	7	[-12, 0]	6
Real_Contrast	8	[12, 0]	4
Real_Contrast	9	[-12, 0]	5
Real_Contrast	10	[12, 0]	4
Real_Contrast	11	[-12, 0]	4
Real_Contrast	12	[12, 0]	6
Real_Contrast	13	[12, 0]	5
Real_Contrast	14	[12, 0]	4
Real_Contrast	15	[-12, 0]	5
Real_Contrast	16	[-12, 0]	5
Real_Contrast	17	[12, 0]	4
Real_Contrast	18	[12, 0]	5
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[-12.   0.]	6	12	[]	[]
Afterimage_Contrast	2	[12.  0.]	5	11	2.6714607171015814	4.068305931985378
Afterimage_Contrast	3	[12.  0.]	4	10	2.7389700930798426	4.981597504927777
Afterimage_Contrast	4	[12.  0.]	6	10	4.099892934085801	2.433719118940644
Afterimage_Contrast	5	[12.  0.]	5	12	3.105294974986464	2.5160677360836416
Afterimage_Contrast	6	[12.  0.]	6	12	[]	[]
Afterimage_Contrast	7	[12.  0.]	6	10	2.9066099389456213	2.6490690930513665
Afterimage_Contrast	8	[12.  0.]	6	11	2.1034341850318015	4.349377546925098
Afterimage_Contrast	9	[-12.   0.]	6	12	[]	[]
Afterimage_Contrast	10	[12.  0.]	4	12	3.8386262769345194	6.748439784045331
Afterimage_Contrast	11	[-12.   0.]	5	11	[]	[]
Afterimage_Contrast	12	[12.  0.]	4	12	2.9382973050232977	3.316071995999664
Afterimage_Contrast	13	[-12.   0.]	6	10	[]	[]
Afterimage_Contrast	14	[12.  0.]	4	12	[]	[]
Afterimage_Contrast	15	[-12.   0.]	5	10	[]	[]
Afterimage_Contrast	16	[12.  0.]	4	11	2.5795577670214698	2.7258666870184243
Afterimage_Contrast	17	[-12.   0.]	6	10	2.0556138809770346	7.081959043047391
Afterimage_Contrast	18	[-12.   0.]	4	11	2.31699474202469	6.517446941928938
Afterimage_Contrast	19	[12.  0.]	5	12	2.0690972899319604	6.699821647023782
Afterimage_Contrast	20	[12.  0.]	4	12	[]	[]
Afterimage_Contrast	21	[12.  0.]	5	12	2.353822870994918	5.599311633035541
Afterimage_Contrast	22	[12.  0.]	6	12	1.0041085890261456	6.081617246964015
Afterimage_Contrast	23	[-12.   0.]	6	10	[]	[]
Afterimage_Contrast	24	[-12.   0.]	6	10	2.3035684450296685	6.399355888017453
Afterimage_Contrast	25	[-12.   0.]	6	12	1.9719030790729448	6.166229716967791
Afterimage_Contrast	26	[-12.   0.]	4	10	3.0729879470309243	4.465762085048482
Afterimage_Contrast	27	[12.  0.]	5	11	[]	[]
Afterimage_Contrast	28	[12.  0.]	6	11	[]	[]
Afterimage_Contrast	29	[-12.   0.]	4	10	4.537053668056615	3.4826226680306718
Afterimage_Contrast	30	[12.  0.]	6	10	[]	[]
Afterimage_Contrast	31	[12.  0.]	6	10	[]	[]
Afterimage_Contrast	32	[-12.   0.]	6	12	[]	[]
Afterimage_Contrast	33	[-12.   0.]	6	12	2.9212519539287314	5.232698032981716
Afterimage_Contrast	34	[-12.   0.]	4	10	1.5549237639643252	6.182215537992306
Afterimage_Contrast	35	[-12.   0.]	4	12	0.938671859097667	4.716200645896606
Afterimage_Contrast	36	[12.  0.]	4	11	[]	[]
Afterimage_Contrast	37	[12.  0.]	6	10	1.7706023850478232	5.616008617915213
Afterimage_Contrast	38	[-12.   0.]	6	10	2.620820477954112	5.282592870062217
Afterimage_Contrast	39	[-12.   0.]	5	12	2.235471674008295	4.400262720999308
Afterimage_Contrast	40	[12.  0.]	4	12	[]	[]
Afterimage_Contrast	41	[12.  0.]	6	10	2.2566995240049437	7.04914974689018
Afterimage_Contrast	42	[12.  0.]	5	12	[]	[]
Afterimage_Contrast	43	[-12.   0.]	6	12	2.7887145060813054	5.24921313195955
Afterimage_Contrast	44	[-12.   0.]	6	12	2.287646979908459	5.466075972071849
Afterimage_Contrast	45	[-12.   0.]	5	11	[]	[]
Afterimage_Contrast	46	[12.  0.]	4	10	[]	[]
Afterimage_Contrast	47	[-12.   0.]	5	11	2.204075621906668	7.165934719028883
Afterimage_Contrast	48	[12.  0.]	5	12	[]	[]
