Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	6	12	5	None
Real_Blur	2	[-12, 0]	5	10	10	9
Real_Blur	3	[12, 0]	4	10	5	None
Real_Blur	4	[12, 0]	6	10	5	4
Real_Blur	5	[-12, 0]	6	11	15	9
Real_Blur	6	[12, 0]	6	10	15	10
Real_Blur	7	[12, 0]	4	12	10	9
Real_Blur	8	[-12, 0]	6	11	15	10
Real_Blur	9	[-12, 0]	6	10	5	5
Real_Blur	10	[12, 0]	4	10	15	14
Real_Blur	11	[12, 0]	5	11	15	17
Real_Blur	12	[-12, 0]	6	10	5	2
Real_Blur	13	[-12, 0]	6	11	10	7
Real_Blur	14	[-12, 0]	4	11	5	5
Real_Blur	15	[12, 0]	5	10	15	13
Real_Blur	16	[-12, 0]	6	11	10	8
Real_Blur	17	[12, 0]	6	12	10	5
Real_Blur	18	[-12, 0]	4	12	5	2
Real_Blur	19	[12, 0]	6	10	5	2
Real_Blur	20	[-12, 0]	5	10	15	13
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	5	11	13
Afterimage_Blur	2	[12, 0]	4	10	12
Afterimage_Blur	3	[-12, 0]	5	12	11
Afterimage_Blur	4	[-12, 0]	6	12	9
Afterimage_Blur	5	[12, 0]	6	11	6
Afterimage_Blur	6	[12, 0]	5	11	8
Afterimage_Blur	7	[12, 0]	5	11	8
Afterimage_Blur	8	[-12, 0]	6	11	8
Afterimage_Blur	9	[-12, 0]	5	10	7
Afterimage_Blur	10	[12, 0]	4	11	10
Afterimage_Blur	11	[12, 0]	4	10	9
Afterimage_Blur	12	[12, 0]	4	12	7
Afterimage_Blur	13	[-12, 0]	4	12	10
Afterimage_Blur	14	[12, 0]	4	11	10
Afterimage_Blur	15	[-12, 0]	6	12	7
Afterimage_Blur	16	[-12, 0]	6	10	9
Afterimage_Blur	17	[12, 0]	4	12	9
Afterimage_Blur	18	[-12, 0]	6	12	11
Afterimage_Blur	19	[12, 0]	6	10	12
Afterimage_Blur	20	[12, 0]	5	11	10
Afterimage_Blur	21	[-12, 0]	5	10	12
Afterimage_Blur	22	[-12, 0]	4	11	8
Afterimage_Blur	23	[-12, 0]	4	12	8
Afterimage_Blur	24	[12, 0]	5	11	10
Afterimage_Blur	25	[-12, 0]	5	12	6
Afterimage_Blur	26	[12, 0]	5	12	10
Afterimage_Blur	27	[12, 0]	4	12	9
Afterimage_Blur	28	[-12, 0]	4	10	11
Afterimage_Blur	29	[-12, 0]	4	11	11
Afterimage_Blur	30	[12, 0]	6	11	9
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	4
Real_Contrast	2	[-12, 0]	5
Real_Contrast	3	[12, 0]	4
Real_Contrast	4	[-12, 0]	5
Real_Contrast	5	[12, 0]	6
Real_Contrast	6	[-12, 0]	5
Real_Contrast	7	[-12, 0]	4
Real_Contrast	8	[-12, 0]	6
Real_Contrast	9	[12, 0]	5
Real_Contrast	10	[12, 0]	4
Real_Contrast	11	[12, 0]	4
Real_Contrast	12	[12, 0]	5
Real_Contrast	13	[-12, 0]	4
Real_Contrast	14	[-12, 0]	6
Real_Contrast	15	[12, 0]	5
Real_Contrast	16	[12, 0]	5
Real_Contrast	17	[-12, 0]	5
Real_Contrast	18	[12, 0]	5
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	6	12	0.1532921149628237	7.482127423980273
Afterimage_Contrast	2	[-12.   0.]	5	12	0.15128184400964528	7.148112355032936
Afterimage_Contrast	3	[-12.   0.]	5	10	0.10548919893335551	7.11570423503872
Afterimage_Contrast	4	[-12.   0.]	6	12	0.7579339349176735	9.082242464995943
Afterimage_Contrast	5	[12.  0.]	4	10	0.306833787006326	6.7978518039453775
Afterimage_Contrast	6	[12.  0.]	5	10	0.32243984600063413	7.9491986989742145
Afterimage_Contrast	7	[12.  0.]	6	11	0.5410850819898769	6.746847404050641
Afterimage_Contrast	8	[12.  0.]	6	10	0.04360402806196362	6.849273595027626
Afterimage_Contrast	9	[-12.   0.]	6	12	0.3450652960455045	10.079818586003967
Afterimage_Contrast	10	[12.  0.]	4	10	0.4583037371048704	8.965463969972916
Afterimage_Contrast	11	[12.  0.]	4	12	0.32355793297756463	6.416029600077309
Afterimage_Contrast	12	[-12.   0.]	5	11	0.5714440000010654	8.23136491200421
Afterimage_Contrast	13	[-12.   0.]	4	10	0.3734720778884366	4.615800733095966
Afterimage_Contrast	14	[-12.   0.]	4	10	0.4094977759523317	7.495887227007188
Afterimage_Contrast	15	[-12.   0.]	6	10	0.49038487405050546	8.56527541403193
Afterimage_Contrast	16	[12.  0.]	5	10	0.241280350019224	4.880055301007815
Afterimage_Contrast	17	[-12.   0.]	4	12	0.7246784599265084	8.449522782000713
Afterimage_Contrast	18	[12.  0.]	6	11	0.4575814710697159	7.481854295940138
Afterimage_Contrast	19	[-12.   0.]	4	11	0.39350814593490213	7.246815802063793
Afterimage_Contrast	20	[12.  0.]	5	10	0.6912229260196909	8.815536135924049
Afterimage_Contrast	21	[-12.   0.]	6	12	0.692237975075841	8.101040345965885
Afterimage_Contrast	22	[-12.   0.]	5	11	0.2433886700309813	9.981912052026019
Afterimage_Contrast	23	[-12.   0.]	5	10	0.37488849298097193	3.5349241020157933
Afterimage_Contrast	24	[-12.   0.]	5	11	0.4085686339531094	8.115241828025319
Afterimage_Contrast	25	[12.  0.]	5	12	0.5578699189936742	7.53200539003592
Afterimage_Contrast	26	[12.  0.]	4	10	0.42406017903704196	6.582864500000142
Afterimage_Contrast	27	[-12.   0.]	5	10	0.3428486390039325	7.60192729299888
Afterimage_Contrast	28	[-12.   0.]	5	11	0.9571176629979163	4.482780113001354
Afterimage_Contrast	29	[-12.   0.]	4	11	0.4602170919533819	6.782383139012381
Afterimage_Contrast	30	[12.  0.]	6	11	0.1429298670263961	8.266219216980971
Afterimage_Contrast	31	[-12.   0.]	5	12	0.2048145600128919	7.16674072004389
Afterimage_Contrast	32	[12.  0.]	5	11	0.17427215597126633	4.749022972071543
Afterimage_Contrast	33	[-12.   0.]	5	11	0.5733446319354698	6.631834774976596
Afterimage_Contrast	34	[-12.   0.]	5	10	0.17668938799761236	6.13811309391167
Afterimage_Contrast	35	[12.  0.]	5	10	0.4915016330778599	5.71705822495278
Afterimage_Contrast	36	[12.  0.]	4	10	0.37428747897502035	7.2322825089795515
Afterimage_Contrast	37	[12.  0.]	6	12	0.03959078202024102	7.318374446011148
Afterimage_Contrast	38	[12.  0.]	6	11	0.5260254549793899	6.246427027974278
Afterimage_Contrast	39	[12.  0.]	6	12	0.3572577389422804	9.015564940054901
Afterimage_Contrast	40	[-12.   0.]	5	11	0.5240168989403173	8.316514653037302
Afterimage_Contrast	41	[-12.   0.]	5	11	0.6388574920129031	10.099191413028166
Afterimage_Contrast	42	[-12.   0.]	6	12	0.15594178601168096	11.729890396003611
