Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	6	11	5	None
Real_Blur	2	[-12, 0]	4	11	5	None
Real_Blur	3	[-12, 0]	5	12	10	None
Real_Blur	4	[-12, 0]	5	10	15	None
Real_Blur	5	[12, 0]	6	10	5	5
Real_Blur	6	[12, 0]	4	10	15	14
Real_Blur	7	[-12, 0]	6	10	15	16
Real_Blur	8	[12, 0]	5	12	15	6
Real_Blur	9	[12, 0]	6	11	15	8
Real_Blur	10	[12, 0]	6	10	5	None
Real_Blur	11	[-12, 0]	6	10	15	11
Real_Blur	12	[-12, 0]	5	11	5	6
Real_Blur	13	[-12, 0]	6	11	15	11
Real_Blur	14	[-12, 0]	5	11	10	12
Real_Blur	15	[-12, 0]	5	10	10	15
Real_Blur	16	[-12, 0]	6	12	10	13
Real_Blur	17	[-12, 0]	6	11	15	15
Real_Blur	18	[12, 0]	4	11	10	13
Real_Blur	19	[12, 0]	6	10	15	21
Real_Blur	20	[-12, 0]	4	12	15	14
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	6	11	7
Afterimage_Blur	2	[12, 0]	5	12	13
Afterimage_Blur	3	[-12, 0]	6	10	15
Afterimage_Blur	4	[12, 0]	6	11	9
Afterimage_Blur	5	[-12, 0]	6	11	14
Afterimage_Blur	6	[-12, 0]	4	12	16
Afterimage_Blur	7	[-12, 0]	6	10	15
Afterimage_Blur	8	[-12, 0]	5	11	13
Afterimage_Blur	9	[-12, 0]	5	12	11
Afterimage_Blur	10	[-12, 0]	4	10	12
Afterimage_Blur	11	[-12, 0]	4	12	12
Afterimage_Blur	12	[12, 0]	6	10	8
Afterimage_Blur	13	[-12, 0]	5	11	9
Afterimage_Blur	14	[12, 0]	5	12	14
Afterimage_Blur	15	[-12, 0]	6	10	11
Afterimage_Blur	16	[12, 0]	6	11	10
Afterimage_Blur	17	[-12, 0]	4	11	9
Afterimage_Blur	18	[12, 0]	5	12	13
Afterimage_Blur	19	[-12, 0]	4	10	11
Afterimage_Blur	20	[12, 0]	6	12	14
Afterimage_Blur	21	[12, 0]	4	11	15
Afterimage_Blur	22	[12, 0]	5	10	8
Afterimage_Blur	23	[12, 0]	5	11	14
Afterimage_Blur	24	[-12, 0]	4	12	[]
Afterimage_Blur	25	[-12, 0]	6	10	11
Afterimage_Blur	26	[12, 0]	5	12	12
Afterimage_Blur	27	[12, 0]	4	12	10
Afterimage_Blur	28	[12, 0]	4	10	11
Afterimage_Blur	29	[-12, 0]	5	11	12
Afterimage_Blur	30	[12, 0]	6	11	17
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	5
Real_Contrast	2	[-12, 0]	5
Real_Contrast	3	[12, 0]	4
Real_Contrast	4	[12, 0]	6
Real_Contrast	5	[-12, 0]	6
Real_Contrast	6	[-12, 0]	6
Real_Contrast	7	[12, 0]	4
Real_Contrast	8	[12, 0]	6
Real_Contrast	9	[-12, 0]	6
Real_Contrast	10	[12, 0]	5
Real_Contrast	11	[12, 0]	6
Real_Contrast	12	[-12, 0]	4
Real_Contrast	13	[12, 0]	6
Real_Contrast	14	[-12, 0]	4
Real_Contrast	15	[12, 0]	4
Real_Contrast	16	[12, 0]	5
Real_Contrast	17	[-12, 0]	5
Real_Contrast	18	[-12, 0]	4
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	6	10	0.22416831000009552	5.896432659999846
Afterimage_Contrast	2	[-12.   0.]	4	11	0.4054004799982067	4.546849207999912
Afterimage_Contrast	3	[-12.   0.]	5	11	0.07144247099859058	8.349510537002061
Afterimage_Contrast	4	[-12.   0.]	5	10	0.30604437100191717	6.032314967000275
Afterimage_Contrast	5	[12.  0.]	5	12	0.12546234399997047	5.346858380999038
Afterimage_Contrast	6	[12.  0.]	5	10	0.45547373999943375	5.316017255998304
Afterimage_Contrast	7	[-12.   0.]	6	10	0.4725969350001833	6.116190553999331
Afterimage_Contrast	8	[12.  0.]	6	11	0.5067565710014605	5.9158387319985195
Afterimage_Contrast	9	[12.  0.]	5	11	0.6730021929979557	5.582396644000255
Afterimage_Contrast	10	[-12.   0.]	6	12	0.2397191029995156	8.349013904997264
Afterimage_Contrast	11	[-12.   0.]	4	10	0.7551836109996657	3.9155682689997775
Afterimage_Contrast	12	[-12.   0.]	5	12	0.3566319819983619	5.332427470002585
Afterimage_Contrast	13	[12.  0.]	5	11	0.2722214970017376	4.015174899999693
Afterimage_Contrast	14	[12.  0.]	6	11	0.23913185400306247	3.515892728999461
Afterimage_Contrast	15	[-12.   0.]	6	12	0.5593672260001767	5.332476360999863
Afterimage_Contrast	16	[12.  0.]	4	10	0.1396604000001389	5.182087997000053
Afterimage_Contrast	17	[-12.   0.]	6	11	0.8684334459976526	5.932221084000048
Afterimage_Contrast	18	[-12.   0.]	6	10	0.3723972199986747	7.43270861000201
Afterimage_Contrast	19	[12.  0.]	5	11	0.4553609229988069	5.332484305999969
Afterimage_Contrast	20	[-12.   0.]	6	10	0.556905112000095	3.9154866649987525
Afterimage_Contrast	21	[-12.   0.]	5	11	0.10582365300069796	7.799316238997562
Afterimage_Contrast	22	[12.  0.]	6	10	1.5040824679999787	7.985406063999108
Afterimage_Contrast	23	[12.  0.]	5	12	[]	[]
Afterimage_Contrast	24	[-12.   0.]	4	12	0.37289160300133517	6.7635689259986975
Afterimage_Contrast	25	[12.  0.]	6	12	0.306171310996433	4.682387805001781
Afterimage_Contrast	26	[12.  0.]	4	10	0.3067056949985272	5.715715746002388
Afterimage_Contrast	27	[12.  0.]	4	10	0.5055262099995161	7.1992752160003874
Afterimage_Contrast	28	[-12.   0.]	5	10	0.2721113260013226	5.597277787997882
Afterimage_Contrast	29	[-12.   0.]	5	12	0.6229277270031162	4.332704975997331
Afterimage_Contrast	30	[12.  0.]	5	11	0.7059288339987688	5.498292002001108
Afterimage_Contrast	31	[-12.   0.]	4	11	0.5575439620006364	5.215270848999353
Afterimage_Contrast	32	[12.  0.]	6	11	0.3257290190013009	4.930163873999845
Afterimage_Contrast	33	[-12.   0.]	4	10	0.44204898799944203	5.5801899399994
Afterimage_Contrast	34	[12.  0.]	4	11	0.8904494570015231	5.999187973997323
Afterimage_Contrast	35	[12.  0.]	5	10	0.18972785799996927	6.564729317000456
Afterimage_Contrast	36	[-12.   0.]	5	12	0.20501333399806754	7.049155958000483
Afterimage_Contrast	37	[12.  0.]	6	12	2.0565396589990996	5.49906313899919
Afterimage_Contrast	38	[-12.   0.]	5	11	0.6385035999992397	6.148767606999172
Afterimage_Contrast	39	[-12.   0.]	5	12	0.6717141660010384	7.1319504599996435
Afterimage_Contrast	40	[12.  0.]	4	11	0.7892780789989047	4.232677043000876
Afterimage_Contrast	41	[-12.   0.]	4	11	0.4906476729993301	5.315437877001386
Afterimage_Contrast	42	[12.  0.]	5	11	0.5001602740012459	5.96594864600047
Afterimage_Contrast	43	[-12.   0.]	6	11	0.5382499119987187	3.764908151999407
