Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	6	12	15	None
Real_Blur	2	[-12, 0]	7	10	10	None
Real_Blur	3	[12, 0]	8	11	15	None
Real_Blur	4	[12, 0]	6	10	15	None
Real_Blur	5	[-12, 0]	8	12	5	7
Real_Blur	6	[-12, 0]	7	11	15	8
Real_Blur	7	[-12, 0]	6	12	10	19
Real_Blur	8	[-12, 0]	6	12	5	1
Real_Blur	9	[-12, 0]	6	11	10	9
Real_Blur	10	[12, 0]	6	10	10	8
Real_Blur	11	[-12, 0]	7	10	10	17
Real_Blur	12	[12, 0]	8	11	15	12
Real_Blur	13	[12, 0]	8	11	10	15
Real_Blur	14	[12, 0]	8	12	10	13
Real_Blur	15	[-12, 0]	7	12	15	24
Real_Blur	16	[-12, 0]	8	10	10	4
Real_Blur	17	[12, 0]	6	11	10	15
Real_Blur	18	[-12, 0]	6	11	10	12
Real_Blur	19	[-12, 0]	8	10	5	6
Real_Blur	20	[-12, 0]	8	12	10	4
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	8	12	4
Afterimage_Blur	2	[12, 0]	6	12	6
Afterimage_Blur	3	[-12, 0]	6	10	6
Afterimage_Blur	4	[-12, 0]	6	10	5
Afterimage_Blur	5	[12, 0]	8	11	6
Afterimage_Blur	6	[12, 0]	7	10	[]
Afterimage_Blur	7	[12, 0]	6	11	7
Afterimage_Blur	8	[-12, 0]	6	11	7
Afterimage_Blur	9	[-12, 0]	8	10	5
Afterimage_Blur	10	[12, 0]	8	12	7
Afterimage_Blur	11	[-12, 0]	6	12	7
Afterimage_Blur	12	[-12, 0]	7	10	6
Afterimage_Blur	13	[-12, 0]	7	12	6
Afterimage_Blur	14	[12, 0]	6	10	7
Afterimage_Blur	15	[-12, 0]	7	10	6
Afterimage_Blur	16	[12, 0]	7	12	[]
Afterimage_Blur	17	[12, 0]	6	10	8
Afterimage_Blur	18	[-12, 0]	6	10	3
Afterimage_Blur	19	[12, 0]	8	11	8
Afterimage_Blur	20	[-12, 0]	7	11	7
Afterimage_Blur	21	[-12, 0]	8	12	7
Afterimage_Blur	22	[12, 0]	8	11	5
Afterimage_Blur	23	[12, 0]	8	10	5
Afterimage_Blur	24	[12, 0]	8	10	5
Afterimage_Blur	25	[12, 0]	7	11	5
Afterimage_Blur	26	[12, 0]	6	11	7
Afterimage_Blur	27	[-12, 0]	8	11	6
Afterimage_Blur	28	[-12, 0]	8	12	6
Afterimage_Blur	29	[12, 0]	6	11	7
Afterimage_Blur	30	[-12, 0]	8	12	5
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	7
Real_Contrast	2	[12, 0]	8
Real_Contrast	3	[12, 0]	7
Real_Contrast	4	[-12, 0]	6
Real_Contrast	5	[12, 0]	6
Real_Contrast	6	[-12, 0]	7
Real_Contrast	7	[-12, 0]	8
Real_Contrast	8	[12, 0]	6
Real_Contrast	9	[-12, 0]	8
Real_Contrast	10	[-12, 0]	6
Real_Contrast	11	[12, 0]	8
Real_Contrast	12	[-12, 0]	7
Real_Contrast	13	[12, 0]	8
Real_Contrast	14	[-12, 0]	7
Real_Contrast	15	[12, 0]	6
Real_Contrast	16	[-12, 0]	6
Real_Contrast	17	[12, 0]	8
Real_Contrast	18	[12, 0]	6
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	7	11	0.7587334509953507	5.0513421920040855
Afterimage_Contrast	2	[12.  0.]	8	10	1.005036663998908	7.851326962998428
Afterimage_Contrast	3	[-12.   0.]	7	11	2.2229016839992255	4.349549240003398
Afterimage_Contrast	4	[-12.   0.]	7	12	1.291452258999925	10.417548468001769
Afterimage_Contrast	5	[12.  0.]	6	10	4.597841433002031	4.1589339610000025
Afterimage_Contrast	6	[12.  0.]	7	12	1.7047099019982852	8.149772964003205
Afterimage_Contrast	7	[-12.   0.]	6	10	1.6562640870033647	8.000599437997153
Afterimage_Contrast	8	[-12.   0.]	8	12	1.0542490799998632	8.24858842100366
Afterimage_Contrast	9	[12.  0.]	7	11	[]	[]
Afterimage_Contrast	10	[-12.   0.]	8	11	2.120912197002326	8.369221392000327
Afterimage_Contrast	11	[12.  0.]	8	11	4.1205439919940545	4.51610066700232
Afterimage_Contrast	12	[-12.   0.]	8	12	3.6553715970003395	5.016025058001105
Afterimage_Contrast	13	[12.  0.]	8	11	[]	[]
Afterimage_Contrast	14	[12.  0.]	6	11	[]	[]
Afterimage_Contrast	15	[-12.   0.]	6	11	4.9184307850009645	3.1991584400020656
Afterimage_Contrast	16	[12.  0.]	7	11	4.938558212001226	2.982619813999918
Afterimage_Contrast	17	[12.  0.]	8	10	[]	[]
Afterimage_Contrast	18	[12.  0.]	6	10	1.6221029029984493	6.183630184001231
Afterimage_Contrast	19	[12.  0.]	8	12	[]	[]
Afterimage_Contrast	20	[-12.   0.]	7	12	1.6388707400037674	7.032258085993817
Afterimage_Contrast	21	[12.  0.]	8	10	2.0082804019984906	6.781990971998312
Afterimage_Contrast	22	[12.  0.]	7	12	1.9067405399982817	7.081875634001335
Afterimage_Contrast	23	[12.  0.]	7	11	[]	[]
Afterimage_Contrast	24	[-12.   0.]	6	10	3.1868839169983403	5.865053130997694
Afterimage_Contrast	25	[12.  0.]	8	10	2.4255816810036777	5.5658071559955715
Afterimage_Contrast	26	[-12.   0.]	7	12	3.252281576002133	4.166941566996684
Afterimage_Contrast	27	[-12.   0.]	8	12	3.1229658689990174	7.298888322002313
Afterimage_Contrast	28	[-12.   0.]	6	10	[]	[]
Afterimage_Contrast	29	[-12.   0.]	8	11	2.4213835789996665	5.765752523999254
Afterimage_Contrast	30	[-12.   0.]	6	10	1.722135301999515	7.299059001998103
Afterimage_Contrast	31	[12.  0.]	7	12	2.6889073140046094	3.8822899219958344
Afterimage_Contrast	32	[12.  0.]	7	12	1.5222400429993286	6.748719733004691
Afterimage_Contrast	33	[12.  0.]	7	12	2.3393454659963027	4.7331703180025215
Afterimage_Contrast	34	[-12.   0.]	6	12	2.7400121399987256	5.765938536002068
Afterimage_Contrast	35	[12.  0.]	6	11	2.622725460001675	6.998807719995966
Afterimage_Contrast	36	[-12.   0.]	7	12	2.253796492004767	5.1817768099936075
Afterimage_Contrast	37	[-12.   0.]	6	12	1.6330599319990142	9.55782004899811
Afterimage_Contrast	38	[-12.   0.]	6	10	2.9045202439956483	6.482980214997951
Afterimage_Contrast	39	[-12.   0.]	8	12	2.4731834749982227	4.298240220996377
Afterimage_Contrast	40	[-12.   0.]	7	10	1.9210699399991427	7.832706758003042
Afterimage_Contrast	41	[-12.   0.]	6	11	1.9068846910013235	7.099233576998813
Afterimage_Contrast	42	[-12.   0.]	6	10	1.2071734319979441	8.166360232004081
Afterimage_Contrast	43	[12.  0.]	7	11	[]	[]
Afterimage_Contrast	44	[12.  0.]	7	11	[]	[]
Afterimage_Contrast	45	[-12.   0.]	8	12	2.423270280996803	5.3990633229987
