Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	8	10	15	9
Real_Blur	2	[12, 0]	7	12	10	6
Real_Blur	3	[12, 0]	7	12	15	17
Real_Blur	4	[12, 0]	8	10	5	5
Real_Blur	5	[-12, 0]	7	10	5	10
Real_Blur	6	[-12, 0]	7	12	10	7
Real_Blur	7	[-12, 0]	8	12	15	17
Real_Blur	8	[12, 0]	7	12	5	2
Real_Blur	9	[12, 0]	8	11	5	5
Real_Blur	10	[-12, 0]	7	11	10	9
Real_Blur	11	[-12, 0]	8	11	15	10
Real_Blur	12	[12, 0]	6	12	15	17
Real_Blur	13	[-12, 0]	8	11	10	7
Real_Blur	14	[-12, 0]	8	12	5	2
Real_Blur	15	[12, 0]	7	10	15	11
Real_Blur	16	[12, 0]	6	10	10	10
Real_Blur	17	[12, 0]	8	10	10	9
Real_Blur	18	[-12, 0]	8	10	10	13
Real_Blur	19	[12, 0]	8	11	15	14
Real_Blur	20	[12, 0]	7	10	15	9
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	6	10	11
Afterimage_Blur	2	[-12, 0]	6	11	15
Afterimage_Blur	3	[12, 0]	8	12	10
Afterimage_Blur	4	[-12, 0]	7	11	7
Afterimage_Blur	5	[12, 0]	8	10	5
Afterimage_Blur	6	[-12, 0]	7	10	9
Afterimage_Blur	7	[-12, 0]	8	12	9
Afterimage_Blur	8	[-12, 0]	7	12	15
Afterimage_Blur	9	[-12, 0]	6	11	14
Afterimage_Blur	10	[12, 0]	8	11	10
Afterimage_Blur	11	[12, 0]	7	12	7
Afterimage_Blur	12	[-12, 0]	6	12	12
Afterimage_Blur	13	[-12, 0]	6	11	[]
Afterimage_Blur	14	[-12, 0]	7	12	10
Afterimage_Blur	15	[-12, 0]	8	11	18
Afterimage_Blur	16	[-12, 0]	8	10	7
Afterimage_Blur	17	[-12, 0]	8	12	12
Afterimage_Blur	18	[12, 0]	6	10	7
Afterimage_Blur	19	[-12, 0]	8	10	11
Afterimage_Blur	20	[-12, 0]	6	11	9
Afterimage_Blur	21	[-12, 0]	7	12	8
Afterimage_Blur	22	[12, 0]	8	10	10
Afterimage_Blur	23	[12, 0]	7	12	15
Afterimage_Blur	24	[12, 0]	6	10	9
Afterimage_Blur	25	[12, 0]	8	10	6
Afterimage_Blur	26	[12, 0]	7	11	10
Afterimage_Blur	27	[12, 0]	6	12	6
Afterimage_Blur	28	[12, 0]	8	12	7
Afterimage_Blur	29	[12, 0]	6	11	6
Afterimage_Blur	30	[12, 0]	7	12	6
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	7
Real_Contrast	2	[12, 0]	8
Real_Contrast	3	[12, 0]	7
Real_Contrast	4	[-12, 0]	8
Real_Contrast	5	[12, 0]	7
Real_Contrast	6	[-12, 0]	8
Real_Contrast	7	[12, 0]	7
Real_Contrast	8	[-12, 0]	7
Real_Contrast	9	[12, 0]	6
Real_Contrast	10	[-12, 0]	6
Real_Contrast	11	[12, 0]	6
Real_Contrast	12	[12, 0]	7
Real_Contrast	13	[-12, 0]	7
Real_Contrast	14	[-12, 0]	8
Real_Contrast	15	[12, 0]	6
Real_Contrast	16	[-12, 0]	7
Real_Contrast	17	[-12, 0]	8
Real_Contrast	18	[12, 0]	6
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[-12.   0.]	7	11	2.6038338579819538	4.284686543018324
Afterimage_Contrast	2	[-12.   0.]	6	10	4.2381473039858975	1.448904874996515
Afterimage_Contrast	3	[-12.   0.]	8	12	2.6585967790160794	5.498408182000276
Afterimage_Contrast	4	[12.  0.]	6	11	5.405696155008627	2.684971423994284
Afterimage_Contrast	5	[12.  0.]	8	11	3.35486756300088	3.79880490899086
Afterimage_Contrast	6	[-12.   0.]	8	12	3.856663960003061	4.399267768982099
Afterimage_Contrast	7	[12.  0.]	7	12	3.372447405999992	3.1665200749994256
Afterimage_Contrast	8	[12.  0.]	7	10	2.788737716997275	2.7149303299956955
Afterimage_Contrast	9	[12.  0.]	8	12	2.3368338829895947	4.233539045002544
Afterimage_Contrast	10	[12.  0.]	7	12	2.771013610996306	2.4494749600125942
Afterimage_Contrast	11	[12.  0.]	8	12	2.3394170709943864	1.6663359079975635
Afterimage_Contrast	12	[12.  0.]	6	11	2.5618834779888857	2.799694196000928
Afterimage_Contrast	13	[12.  0.]	6	11	2.2043922769953497	3.3832507329934742
Afterimage_Contrast	14	[12.  0.]	7	10	2.4213788710185327	3.499059216992464
Afterimage_Contrast	15	[-12.   0.]	8	11	[]	[]
Afterimage_Contrast	16	[12.  0.]	7	11	3.4708611509995535	2.0660595129884314
Afterimage_Contrast	17	[12.  0.]	6	12	2.2421160969824996	1.5964908960158937
Afterimage_Contrast	18	[12.  0.]	8	11	2.40387976099737	1.5331742909911554
Afterimage_Contrast	19	[-12.   0.]	6	11	4.351278655987699	2.3357284179946873
Afterimage_Contrast	20	[-12.   0.]	7	11	3.7256737319985405	0.9834304060204886
Afterimage_Contrast	21	[-12.   0.]	7	10	3.053308044007281	1.7328139019955415
Afterimage_Contrast	22	[-12.   0.]	7	11	3.0057652730029076	1.1661841829773039
Afterimage_Contrast	23	[-12.   0.]	7	12	2.8651982760056853	3.1499315869878046
Afterimage_Contrast	24	[-12.   0.]	7	11	3.122796917014057	2.182313567987876
Afterimage_Contrast	25	[12.  0.]	7	11	2.57231921699713	2.4325162819877733
Afterimage_Contrast	26	[12.  0.]	8	11	3.899713703984162	1.117210349009838
Afterimage_Contrast	27	[12.  0.]	7	11	2.4368030749901664	1.3661478100111708
Afterimage_Contrast	28	[12.  0.]	8	12	1.9380977769906167	2.231422108015977
Afterimage_Contrast	29	[-12.   0.]	7	11	3.6051619419886265	1.516244275990175
Afterimage_Contrast	30	[-12.   0.]	6	12	2.9358837679901626	1.2661216580017935
Afterimage_Contrast	31	[12.  0.]	7	10	5.5187165919924155	1.1316994990047533
Afterimage_Contrast	32	[12.  0.]	8	11	3.170498065999709	1.500268177012913
Afterimage_Contrast	33	[12.  0.]	6	10	1.9376537560019642	1.4831888799963053
Afterimage_Contrast	34	[-12.   0.]	7	10	3.9550784620223567	3.0481205269752536
Afterimage_Contrast	35	[12.  0.]	7	11	3.170858985016821	1.5336813339963555
Afterimage_Contrast	36	[-12.   0.]	7	12	2.5541240549937356	1.8998114700079896
Afterimage_Contrast	37	[-12.   0.]	6	11	3.2527947319904342	1.7329043520148844
Afterimage_Contrast	38	[-12.   0.]	7	10	2.3987253369996324	2.9974891629826743
Afterimage_Contrast	39	[12.  0.]	8	11	2.4224188340012915	4.8658655770123005
Afterimage_Contrast	40	[-12.   0.]	8	10	3.5037260170211084	1.901414466992719
Afterimage_Contrast	41	[-12.   0.]	7	11	2.8045865460007917	1.4163338329817634
Afterimage_Contrast	42	[-12.   0.]	6	10	2.753720557986526	2.6665776369918603
