Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	8	12	10	10
Real_Blur	2	[12, 0]	8	11	5	0
Real_Blur	3	[-12, 0]	8	11	10	4
Real_Blur	4	[12, 0]	8	10	10	7
Real_Blur	5	[-12, 0]	7	12	5	7
Real_Blur	6	[-12, 0]	7	12	10	7
Real_Blur	7	[-12, 0]	8	10	5	3
Real_Blur	8	[12, 0]	8	11	15	13
Real_Blur	9	[-12, 0]	8	12	5	5
Real_Blur	10	[12, 0]	8	10	10	11
Real_Blur	11	[12, 0]	6	12	10	7
Real_Blur	12	[12, 0]	8	12	15	8
Real_Blur	13	[-12, 0]	7	11	10	7
Real_Blur	14	[-12, 0]	6	12	5	9
Real_Blur	15	[-12, 0]	6	12	5	4
Real_Blur	16	[12, 0]	7	10	15	10
Real_Blur	17	[12, 0]	6	12	15	21
Real_Blur	18	[12, 0]	8	11	5	4
Real_Blur	19	[12, 0]	6	10	10	7
Real_Blur	20	[12, 0]	7	11	10	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	8	11	1
Afterimage_Blur	2	[-12, 0]	8	11	4
Afterimage_Blur	3	[-12, 0]	6	12	2
Afterimage_Blur	4	[-12, 0]	7	10	3
Afterimage_Blur	5	[12, 0]	7	12	2
Afterimage_Blur	6	[12, 0]	6	12	3
Afterimage_Blur	7	[-12, 0]	8	12	4
Afterimage_Blur	8	[12, 0]	8	12	3
Afterimage_Blur	9	[-12, 0]	6	12	2
Afterimage_Blur	10	[12, 0]	7	11	1
Afterimage_Blur	11	[12, 0]	8	10	3
Afterimage_Blur	12	[12, 0]	6	10	3
Afterimage_Blur	13	[12, 0]	7	10	3
Afterimage_Blur	14	[12, 0]	8	10	2
Afterimage_Blur	15	[-12, 0]	8	10	3
Afterimage_Blur	16	[-12, 0]	6	12	3
Afterimage_Blur	17	[12, 0]	6	10	2
Afterimage_Blur	18	[12, 0]	8	12	2
Afterimage_Blur	19	[12, 0]	6	10	4
Afterimage_Blur	20	[-12, 0]	8	12	3
Afterimage_Blur	21	[-12, 0]	8	10	3
Afterimage_Blur	22	[12, 0]	6	12	4
Afterimage_Blur	23	[-12, 0]	8	10	3
Afterimage_Blur	24	[-12, 0]	7	10	2
Afterimage_Blur	25	[-12, 0]	8	11	3
Afterimage_Blur	26	[12, 0]	7	12	3
Afterimage_Blur	27	[-12, 0]	7	10	5
Afterimage_Blur	28	[12, 0]	7	10	3
Afterimage_Blur	29	[-12, 0]	7	11	2
Afterimage_Blur	30	[12, 0]	7	12	2
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	8
Real_Contrast	2	[12, 0]	7
Real_Contrast	3	[12, 0]	8
Real_Contrast	4	[12, 0]	6
Real_Contrast	5	[12, 0]	7
Real_Contrast	6	[-12, 0]	6
Real_Contrast	7	[-12, 0]	7
Real_Contrast	8	[12, 0]	6
Real_Contrast	9	[-12, 0]	6
Real_Contrast	10	[12, 0]	7
Real_Contrast	11	[-12, 0]	7
Real_Contrast	12	[-12, 0]	6
Real_Contrast	13	[-12, 0]	6
Real_Contrast	14	[12, 0]	6
Real_Contrast	15	[-12, 0]	8
Real_Contrast	16	[-12, 0]	6
Real_Contrast	17	[12, 0]	8
Real_Contrast	18	[12, 0]	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	7	12	0.32636988300146186	5.665724308999415
Afterimage_Contrast	2	[12.  0.]	6	10	0.07796567699915613	7.39845477200106
Afterimage_Contrast	3	[12.  0.]	6	12	0.30914788600057364	9.033938786000363
Afterimage_Contrast	4	[-12.   0.]	8	12	0.3590055629993003	10.615285127001698
Afterimage_Contrast	5	[12.  0.]	6	12	0.042549035999400076	8.998625565000111
Afterimage_Contrast	6	[-12.   0.]	7	12	0.3748705189991597	11.46436336700026
Afterimage_Contrast	7	[12.  0.]	6	10	0.25906110600044485	8.099453660999643
Afterimage_Contrast	8	[-12.   0.]	8	10	0.058880388000034145	9.88197351999952
Afterimage_Contrast	9	[-12.   0.]	6	12	0.3273327410006459	8.09881335299906
Afterimage_Contrast	10	[-12.   0.]	6	12	0.12414685799922154	10.650481284001216
Afterimage_Contrast	11	[-12.   0.]	6	11	0.42525217999900633	10.434352405000027
Afterimage_Contrast	12	[12.  0.]	8	12	0.14219882300130848	11.76456091199907
Afterimage_Contrast	13	[12.  0.]	6	12	0.30905394199908187	10.863257573000737
Afterimage_Contrast	14	[12.  0.]	8	10	0.3085206920004566	7.366031220999503
Afterimage_Contrast	15	[12.  0.]	8	12	0.12673798600008013	7.679827776999446
Afterimage_Contrast	16	[12.  0.]	7	10	0.04238615600115736	9.001403082998877
Afterimage_Contrast	17	[-12.   0.]	6	11	0.2930230410001968	9.14848934300062
Afterimage_Contrast	18	[-12.   0.]	7	10	0.32569629099998565	9.61498932699942
Afterimage_Contrast	19	[12.  0.]	7	10	0.2427276559992606	7.581446883999888
Afterimage_Contrast	20	[-12.   0.]	6	11	0.02642690799984848	10.601048552000066
Afterimage_Contrast	21	[-12.   0.]	8	12	0.10521605799840472	7.701105475000077
Afterimage_Contrast	22	[-12.   0.]	7	10	0.643322920999708	7.836381753000751
Afterimage_Contrast	23	[12.  0.]	6	10	0.4581784810015961	6.382584379000036
Afterimage_Contrast	24	[-12.   0.]	8	10	0.17849376300000586	7.646544455999901
Afterimage_Contrast	25	[12.  0.]	7	11	0.4282606209999358	6.346942797999873
Afterimage_Contrast	26	[-12.   0.]	8	11	0.5757313510002859	8.817618627999764
Afterimage_Contrast	27	[12.  0.]	8	11	0.641996485999698	6.834755978999965
Afterimage_Contrast	28	[12.  0.]	8	10	0.6265873249994911	9.315021808000893
Afterimage_Contrast	29	[12.  0.]	7	10	0.37550255699898116	8.35108575599952
Afterimage_Contrast	30	[-12.   0.]	6	10	0.6757706089993007	6.498479510000834
Afterimage_Contrast	31	[12.  0.]	7	12	0.1596152219990472	4.932758659000683
Afterimage_Contrast	32	[12.  0.]	7	12	0.10849660500025493	7.266616847000478
Afterimage_Contrast	33	[12.  0.]	7	10	0.10965777700039325	5.735070810000252
Afterimage_Contrast	34	[-12.   0.]	6	10	0.3595250840007793	9.08214573999976
Afterimage_Contrast	35	[12.  0.]	6	11	0.2279352879995713	6.632344871000896
Afterimage_Contrast	36	[-12.   0.]	8	12	0.4752794010000798	7.665224672000477
Afterimage_Contrast	37	[12.  0.]	6	12	0.37614637700062303	7.134241940999345
Afterimage_Contrast	38	[12.  0.]	7	12	0.4929766120003478	6.584473969998726
Afterimage_Contrast	39	[12.  0.]	8	10	0.5099436919990694	8.265436783000041
Afterimage_Contrast	40	[-12.   0.]	6	10	0.09218368800065946	5.132643172999451
Afterimage_Contrast	41	[12.  0.]	6	10	0.3584535150002921	8.232024936000016
Afterimage_Contrast	42	[12.  0.]	6	11	0.0924541849999514	8.550681883001744
Afterimage_Contrast	43	[-12.   0.]	8	12	0.41071251700122957	7.182741795999391
