Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	12	10	15	None
Real_Blur	2	[12, 0]	11	10	10	21
Real_Blur	3	[-12, 0]	11	10	10	None
Real_Blur	4	[-12, 0]	12	10	15	7
Real_Blur	5	[-12, 0]	10	12	10	20
Real_Blur	6	[-12, 0]	11	12	5	13
Real_Blur	7	[12, 0]	10	12	5	15
Real_Blur	8	[-12, 0]	10	11	10	10
Real_Blur	9	[-12, 0]	12	10	15	16
Real_Blur	10	[12, 0]	12	12	10	3
Real_Blur	11	[-12, 0]	11	10	5	17
Real_Blur	12	[12, 0]	11	10	10	None
Real_Blur	13	[-12, 0]	12	11	10	18
Real_Blur	14	[-12, 0]	10	12	15	10
Real_Blur	15	[12, 0]	12	11	15	13
Real_Blur	16	[-12, 0]	10	12	10	12
Real_Blur	17	[-12, 0]	11	10	15	7
Real_Blur	18	[-12, 0]	10	12	5	4
Real_Blur	19	[12, 0]	10	10	5	9
Real_Blur	20	[12, 0]	11	12	5	16
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	10	11	5
Afterimage_Blur	2	[-12, 0]	10	12	4
Afterimage_Blur	3	[12, 0]	11	10	9
Afterimage_Blur	4	[-12, 0]	10	11	9
Afterimage_Blur	5	[-12, 0]	10	11	4
Afterimage_Blur	6	[-12, 0]	12	12	5
Afterimage_Blur	7	[-12, 0]	10	12	4
Afterimage_Blur	8	[-12, 0]	12	10	4
Afterimage_Blur	9	[-12, 0]	10	11	10
Afterimage_Blur	10	[12, 0]	12	12	5
Afterimage_Blur	11	[-12, 0]	11	11	5
Afterimage_Blur	12	[-12, 0]	12	11	[]
Afterimage_Blur	13	[12, 0]	12	10	[]
Afterimage_Blur	14	[-12, 0]	12	12	[]
Afterimage_Blur	15	[-12, 0]	12	12	10
Afterimage_Blur	16	[12, 0]	11	11	10
Afterimage_Blur	17	[12, 0]	11	11	[]
Afterimage_Blur	18	[12, 0]	10	10	10
Afterimage_Blur	19	[-12, 0]	11	10	14
Afterimage_Blur	20	[12, 0]	12	12	[]
Afterimage_Blur	21	[12, 0]	10	10	12
Afterimage_Blur	22	[-12, 0]	12	10	8
Afterimage_Blur	23	[12, 0]	11	11	[]
Afterimage_Blur	24	[12, 0]	12	10	[]
Afterimage_Blur	25	[12, 0]	10	10	[]
Afterimage_Blur	26	[12, 0]	10	11	[]
Afterimage_Blur	27	[12, 0]	10	11	8
Afterimage_Blur	28	[12, 0]	12	12	[]
Afterimage_Blur	29	[12, 0]	11	12	[]
Afterimage_Blur	30	[-12, 0]	10	10	[]
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[12, 0]	12
Real_Contrast	2	[12, 0]	11
Real_Contrast	3	[-12, 0]	10
Real_Contrast	4	[12, 0]	10
Real_Contrast	5	[-12, 0]	10
Real_Contrast	6	[12, 0]	11
Real_Contrast	7	[12, 0]	10
Real_Contrast	8	[-12, 0]	11
Real_Contrast	9	[-12, 0]	11
Real_Contrast	10	[-12, 0]	11
Real_Contrast	11	[12, 0]	10
Real_Contrast	12	[12, 0]	12
Real_Contrast	13	[-12, 0]	11
Real_Contrast	14	[-12, 0]	10
Real_Contrast	15	[-12, 0]	11
Real_Contrast	16	[12, 0]	12
Real_Contrast	17	[12, 0]	11
Real_Contrast	18	[-12, 0]	10
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	12	10	4.706242055006442	0.46528930799104273
Afterimage_Contrast	2	[-12.   0.]	11	10	[]	[]
Afterimage_Contrast	3	[-12.   0.]	10	10	0.2731159899994964	2.6157353520102333
Afterimage_Contrast	4	[-12.   0.]	10	12	0.04234290799649898	6.06343665800523
Afterimage_Contrast	5	[12.  0.]	11	12	[]	[]
Afterimage_Contrast	6	[12.  0.]	10	10	[]	[]
Afterimage_Contrast	7	[12.  0.]	12	11	0.6570957509975415	5.032967581006233
Afterimage_Contrast	8	[-12.   0.]	12	11	[]	[]
Afterimage_Contrast	9	[-12.   0.]	10	10	0.25502666700049303	5.23262566899939
Afterimage_Contrast	10	[12.  0.]	11	10	0.4549757100030547	5.332544851000421
Afterimage_Contrast	11	[-12.   0.]	12	12	[]	[]
Afterimage_Contrast	12	[12.  0.]	12	11	[]	[]
Afterimage_Contrast	13	[-12.   0.]	11	11	[]	[]
Afterimage_Contrast	14	[12.  0.]	12	10	[]	[]
Afterimage_Contrast	15	[-12.   0.]	10	10	0.32928759099741	4.0769094949937426
Afterimage_Contrast	16	[12.  0.]	12	12	3.08895108300203	1.7497212559974287
Afterimage_Contrast	17	[-12.   0.]	12	11	[]	[]
Afterimage_Contrast	18	[12.  0.]	10	11	1.5231127410079353	1.9661216759996023
Afterimage_Contrast	19	[-12.   0.]	12	11	[]	[]
Afterimage_Contrast	20	[12.  0.]	10	11	[]	[]
Afterimage_Contrast	21	[12.  0.]	10	10	[]	[]
Afterimage_Contrast	22	[12.  0.]	12	11	0.7322679789940594	2.7741153969982406
Afterimage_Contrast	23	[12.  0.]	10	12	[]	[]
Afterimage_Contrast	24	[-12.   0.]	12	11	[]	[]
Afterimage_Contrast	25	[-12.   0.]	10	10	0.32982305900077336	4.477445271011675
Afterimage_Contrast	26	[-12.   0.]	10	10	[]	[]
Afterimage_Contrast	27	[12.  0.]	12	12	3.8549974280031165	1.9489906660019187
Afterimage_Contrast	28	[12.  0.]	10	11	1.0397585120081203	2.4497329509904375
Afterimage_Contrast	29	[-12.   0.]	11	11	[]	[]
Afterimage_Contrast	30	[12.  0.]	12	11	[]	[]
Afterimage_Contrast	31	[-12.   0.]	10	10	0.9384203149966197	2.0822894669981906
Afterimage_Contrast	32	[12.  0.]	11	11	0.506326260001515	2.382661390991416
Afterimage_Contrast	33	[-12.   0.]	10	11	0.2897662000032142	4.599388215996441
Afterimage_Contrast	34	[12.  0.]	10	11	3.7225183340051444	1.7003583609912312
Afterimage_Contrast	35	[12.  0.]	11	12	[]	[]
Afterimage_Contrast	36	[-12.   0.]	10	10	0.38963787398824934	5.6493482229998335
Afterimage_Contrast	37	[12.  0.]	10	12	0.6241722169943387	2.2829596380033763
Afterimage_Contrast	38	[12.  0.]	12	10	2.6556293689936865	1.5663923760002945
Afterimage_Contrast	39	[-12.   0.]	11	12	[]	[]
Afterimage_Contrast	40	[-12.   0.]	12	11	2.584136128993123	1.9322850909957197
Afterimage_Contrast	41	[12.  0.]	11	10	[]	[]
Afterimage_Contrast	42	[-12.   0.]	11	10	3.302975417987909	1.3332503880083095
Afterimage_Contrast	43	[12.  0.]	10	12	3.2029833940032404	1.9000700169999618
Afterimage_Contrast	44	[12.  0.]	10	11	[]	[]
Afterimage_Contrast	45	[-12.   0.]	11	11	1.4545296450087335	2.9646472210006323
Afterimage_Contrast	46	[-12.   0.]	10	11	3.0725749950070167	4.699199206996127
Afterimage_Contrast	47	[-12.   0.]	12	12	[]	[]
Afterimage_Contrast	48	[-12.   0.]	10	11	[]	[]
Afterimage_Contrast	49	[12.  0.]	12	10	[]	[]
