Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	11	11	10	12
Real_Blur	2	[-12, 0]	12	10	15	20
Real_Blur	3	[-12, 0]	10	10	10	12
Real_Blur	4	[12, 0]	12	12	5	1
Real_Blur	5	[12, 0]	12	11	15	5
Real_Blur	6	[-12, 0]	12	10	15	7
Real_Blur	7	[12, 0]	11	11	15	20
Real_Blur	8	[12, 0]	10	10	10	8
Real_Blur	9	[12, 0]	10	11	10	8
Real_Blur	10	[-12, 0]	10	10	15	23
Real_Blur	11	[12, 0]	10	10	15	5
Real_Blur	12	[12, 0]	11	10	15	13
Real_Blur	13	[-12, 0]	12	10	15	8
Real_Blur	14	[12, 0]	11	12	10	10
Real_Blur	15	[12, 0]	11	11	5	4
Real_Blur	16	[-12, 0]	10	10	5	5
Real_Blur	17	[12, 0]	10	10	10	7
Real_Blur	18	[12, 0]	12	10	15	18
Real_Blur	19	[-12, 0]	10	12	15	8
Real_Blur	20	[-12, 0]	12	11	5	2
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	10	12	9
Afterimage_Blur	2	[12, 0]	10	10	10
Afterimage_Blur	3	[12, 0]	10	10	6
Afterimage_Blur	4	[-12, 0]	11	12	6
Afterimage_Blur	5	[-12, 0]	10	10	8
Afterimage_Blur	6	[-12, 0]	11	11	6
Afterimage_Blur	7	[-12, 0]	12	12	7
Afterimage_Blur	8	[12, 0]	10	10	11
Afterimage_Blur	9	[-12, 0]	12	12	5
Afterimage_Blur	10	[12, 0]	12	12	12
Afterimage_Blur	11	[-12, 0]	12	10	9
Afterimage_Blur	12	[-12, 0]	10	12	7
Afterimage_Blur	13	[-12, 0]	12	12	7
Afterimage_Blur	14	[-12, 0]	10	12	5
Afterimage_Blur	15	[-12, 0]	11	10	6
Afterimage_Blur	16	[12, 0]	12	12	6
Afterimage_Blur	17	[-12, 0]	11	11	9
Afterimage_Blur	18	[-12, 0]	10	12	3
Afterimage_Blur	19	[12, 0]	11	11	6
Afterimage_Blur	20	[-12, 0]	10	11	3
Afterimage_Blur	21	[12, 0]	10	10	7
Afterimage_Blur	22	[12, 0]	10	10	9
Afterimage_Blur	23	[12, 0]	11	10	8
Afterimage_Blur	24	[12, 0]	11	11	7
Afterimage_Blur	25	[12, 0]	11	12	8
Afterimage_Blur	26	[12, 0]	10	10	13
Afterimage_Blur	27	[12, 0]	12	11	9
Afterimage_Blur	28	[-12, 0]	11	10	8
Afterimage_Blur	29	[12, 0]	10	11	7
Afterimage_Blur	30	[-12, 0]	11	11	5
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[12, 0]	12
Real_Contrast	2	[-12, 0]	10
Real_Contrast	3	[-12, 0]	12
Real_Contrast	4	[-12, 0]	10
Real_Contrast	5	[-12, 0]	11
Real_Contrast	6	[12, 0]	11
Real_Contrast	7	[-12, 0]	12
Real_Contrast	8	[-12, 0]	11
Real_Contrast	9	[12, 0]	10
Real_Contrast	10	[-12, 0]	11
Real_Contrast	11	[-12, 0]	11
Real_Contrast	12	[12, 0]	12
Real_Contrast	13	[12, 0]	11
Real_Contrast	14	[12, 0]	10
Real_Contrast	15	[12, 0]	11
Real_Contrast	16	[-12, 0]	11
Real_Contrast	17	[12, 0]	10
Real_Contrast	18	[12, 0]	11
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[-12.   0.]	11	11	0.26377840499981176	7.479852680000022
Afterimage_Contrast	2	[-12.   0.]	10	11	0.6259736329998304	10.082122962000085
Afterimage_Contrast	3	[12.  0.]	10	12	0.5758531950000361	6.7159583570000905
Afterimage_Contrast	4	[-12.   0.]	11	11	0.11062445599964121	7.446215411000139
Afterimage_Contrast	5	[-12.   0.]	12	11	0.22903337900015686	8.32983371599994
Afterimage_Contrast	6	[-12.   0.]	11	12	0.5769805969998743	7.948965914999917
Afterimage_Contrast	7	[-12.   0.]	12	12	0.22646251500009384	8.66545708700005
Afterimage_Contrast	8	[12.  0.]	10	10	0.39316638799982684	7.565413875000104
Afterimage_Contrast	9	[-12.   0.]	10	11	0.642784089000088	7.098769047000133
Afterimage_Contrast	10	[12.  0.]	12	10	0.5257162190000599	7.38144481900008
Afterimage_Contrast	11	[12.  0.]	12	11	0.6273864640002103	6.632527388999733
Afterimage_Contrast	12	[12.  0.]	10	10	0.19259230799980287	6.632497258000058
Afterimage_Contrast	13	[12.  0.]	12	10	0.2102442020000126	7.215731072000381
Afterimage_Contrast	14	[-12.   0.]	12	11	1.0101015709997228	6.8316230059999725
Afterimage_Contrast	15	[-12.   0.]	12	11	0.17552052500013815	8.315581734999796
Afterimage_Contrast	16	[-12.   0.]	12	11	0.24669045200016626	6.296773859000041
Afterimage_Contrast	17	[12.  0.]	10	12	0.29514701200014315	7.515203422000013
Afterimage_Contrast	18	[12.  0.]	11	11	0.5279524280003898	6.415307276000021
Afterimage_Contrast	19	[12.  0.]	10	11	0.5448657489996549	6.315316400000029
Afterimage_Contrast	20	[-12.   0.]	12	10	0.060449986000094214	7.999402372000077
Afterimage_Contrast	21	[-12.   0.]	12	10	0.2606771790001403	7.047907790999943
Afterimage_Contrast	22	[12.  0.]	10	12	0.6925275919998057	4.399708145000204
Afterimage_Contrast	23	[12.  0.]	12	12	0.1776126730001124	6.031840213000123
Afterimage_Contrast	24	[-12.   0.]	10	10	0.3436075039999196	6.11609141200006
Afterimage_Contrast	25	[12.  0.]	10	10	0.344750608999675	4.847530255000038
Afterimage_Contrast	26	[12.  0.]	11	10	0.7104947709999578	5.499489670000003
Afterimage_Contrast	27	[12.  0.]	12	10	0.7084164879997843	6.649514612000075
Afterimage_Contrast	28	[-12.   0.]	11	12	0.24449190899986206	7.082715772000029
Afterimage_Contrast	29	[12.  0.]	11	10	0.27856948199996623	5.029579979000118
Afterimage_Contrast	30	[-12.   0.]	11	12	0.27787375899970357	6.115994368000429
Afterimage_Contrast	31	[-12.   0.]	10	11	0.294022885999766	6.632660617000056
Afterimage_Contrast	32	[12.  0.]	10	11	0.141249968000011	7.517015479999827
Afterimage_Contrast	33	[12.  0.]	11	11	0.2273932610000884	7.06390890800003
Afterimage_Contrast	34	[-12.   0.]	12	11	0.25963446200012186	5.8828292860002875
Afterimage_Contrast	35	[-12.   0.]	10	11	0.29377668600000106	7.632392280000204
Afterimage_Contrast	36	[-12.   0.]	12	10	0.4270660429997406	6.999734549000095
Afterimage_Contrast	37	[-12.   0.]	12	10	0.07965720500033058	7.3638940199998615
Afterimage_Contrast	38	[12.  0.]	11	11	0.16113606900034938	7.463981244999559
Afterimage_Contrast	39	[-12.   0.]	11	10	0.5085652859997936	5.915856172000076
Afterimage_Contrast	40	[12.  0.]	11	12	0.18998616500039134	5.966072109999914
Afterimage_Contrast	41	[-12.   0.]	10	11	0.013069359999917651	7.215357442999903
Afterimage_Contrast	42	[-12.   0.]	12	11	0.1451136610003232	7.997104607999972
