Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	6	12	5	None
Real_Blur	2	[-12, 0]	8	11	15	25
Real_Blur	3	[-12, 0]	7	11	10	4
Real_Blur	4	[-12, 0]	6	12	15	18
Real_Blur	5	[12, 0]	7	11	15	10
Real_Blur	6	[12, 0]	6	11	10	11
Real_Blur	7	[12, 0]	8	10	10	12
Real_Blur	8	[-12, 0]	6	11	10	10
Real_Blur	9	[-12, 0]	8	12	5	10
Real_Blur	10	[-12, 0]	6	10	15	7
Real_Blur	11	[-12, 0]	7	11	15	19
Real_Blur	12	[12, 0]	7	12	15	21
Real_Blur	13	[12, 0]	8	11	5	None
Real_Blur	14	[12, 0]	8	12	15	18
Real_Blur	15	[12, 0]	7	12	15	6
Real_Blur	16	[-12, 0]	6	12	5	None
Real_Blur	17	[-12, 0]	7	10	5	None
Real_Blur	18	[-12, 0]	6	11	5	14
Real_Blur	19	[12, 0]	7	10	15	18
Real_Blur	20	[-12, 0]	6	12	15	18
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	7	11	13
Afterimage_Blur	2	[12, 0]	8	12	14
Afterimage_Blur	3	[-12, 0]	8	12	8
Afterimage_Blur	4	[-12, 0]	6	12	15
Afterimage_Blur	5	[-12, 0]	7	11	[]
Afterimage_Blur	6	[-12, 0]	7	11	10
Afterimage_Blur	7	[-12, 0]	7	12	11
Afterimage_Blur	8	[12, 0]	6	10	[]
Afterimage_Blur	9	[-12, 0]	7	12	13
Afterimage_Blur	10	[-12, 0]	7	10	16
Afterimage_Blur	11	[-12, 0]	6	12	17
Afterimage_Blur	12	[-12, 0]	6	11	13
Afterimage_Blur	13	[-12, 0]	6	12	[]
Afterimage_Blur	14	[12, 0]	6	12	13
Afterimage_Blur	15	[12, 0]	7	10	14
Afterimage_Blur	16	[-12, 0]	6	11	3
Afterimage_Blur	17	[12, 0]	7	10	[]
Afterimage_Blur	18	[-12, 0]	7	11	11
Afterimage_Blur	19	[12, 0]	6	11	[]
Afterimage_Blur	20	[12, 0]	6	12	[]
Afterimage_Blur	21	[12, 0]	8	12	[]
Afterimage_Blur	22	[-12, 0]	8	11	6
Afterimage_Blur	23	[12, 0]	6	11	[]
Afterimage_Blur	24	[12, 0]	7	11	15
Afterimage_Blur	25	[-12, 0]	8	12	[]
Afterimage_Blur	26	[12, 0]	7	10	17
Afterimage_Blur	27	[12, 0]	8	10	[]
Afterimage_Blur	28	[12, 0]	6	11	16
Afterimage_Blur	29	[12, 0]	8	12	20
Afterimage_Blur	30	[-12, 0]	7	12	[]
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[12, 0]	8
Real_Contrast	2	[-12, 0]	6
Real_Contrast	3	[12, 0]	6
Real_Contrast	4	[-12, 0]	8
Real_Contrast	5	[12, 0]	6
Real_Contrast	6	[12, 0]	8
Real_Contrast	7	[-12, 0]	6
Real_Contrast	8	[12, 0]	7
Real_Contrast	9	[-12, 0]	8
Real_Contrast	10	[12, 0]	7
Real_Contrast	11	[-12, 0]	6
Real_Contrast	12	[-12, 0]	8
Real_Contrast	13	[12, 0]	6
Real_Contrast	14	[12, 0]	7
Real_Contrast	15	[-12, 0]	8
Real_Contrast	16	[12, 0]	6
Real_Contrast	17	[-12, 0]	6
Real_Contrast	18	[-12, 0]	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	6	12	1.6731087350053713	5.182592815996031
Afterimage_Contrast	2	[12.  0.]	8	11	2.4581883709979593	1.5477774770042743
Afterimage_Contrast	3	[-12.   0.]	7	11	[]	[]
Afterimage_Contrast	4	[-12.   0.]	6	11	4.506194718000188	1.1827662979994784
Afterimage_Contrast	5	[-12.   0.]	7	10	1.5889697759994306	1.0496203300062916
Afterimage_Contrast	6	[12.  0.]	7	11	[]	[]
Afterimage_Contrast	7	[-12.   0.]	6	11	7.423235285998089	1.265787114003615
Afterimage_Contrast	8	[-12.   0.]	7	10	2.0575286020030035	1.8328920419953647
Afterimage_Contrast	9	[-12.   0.]	7	11	2.956161540998437	0.8001408139971318
Afterimage_Contrast	10	[-12.   0.]	8	12	3.323228419998486	1.0500621359969955
Afterimage_Contrast	11	[-12.   0.]	6	12	[]	[]
Afterimage_Contrast	12	[-12.   0.]	8	10	2.870955537997361	1.3012345320021268
Afterimage_Contrast	13	[12.  0.]	6	11	[]	[]
Afterimage_Contrast	14	[12.  0.]	8	12	2.723153593004099	1.1488317039984395
Afterimage_Contrast	15	[12.  0.]	6	10	2.4223610650005867	1.0165159469979699
Afterimage_Contrast	16	[12.  0.]	8	11	[]	[]
Afterimage_Contrast	17	[12.  0.]	7	11	3.325313458000892	1.5996108770050341
Afterimage_Contrast	18	[-12.   0.]	7	10	4.372713675998966	1.299439402995631
Afterimage_Contrast	19	[-12.   0.]	6	10	[]	[]
Afterimage_Contrast	20	[-12.   0.]	7	10	1.1738906230020802	1.0667610000018612
Afterimage_Contrast	21	[-12.   0.]	6	12	2.421854546999384	0.8158996989950538
Afterimage_Contrast	22	[12.  0.]	6	12	[]	[]
Afterimage_Contrast	23	[12.  0.]	7	12	[]	[]
Afterimage_Contrast	24	[12.  0.]	8	11	[]	[]
Afterimage_Contrast	25	[-12.   0.]	6	11	[]	[]
Afterimage_Contrast	26	[12.  0.]	6	12	[]	[]
Afterimage_Contrast	27	[12.  0.]	6	10	[]	[]
Afterimage_Contrast	28	[-12.   0.]	8	10	[]	[]
Afterimage_Contrast	29	[-12.   0.]	7	10	[]	[]
Afterimage_Contrast	30	[12.  0.]	6	10	1.2142678439995507	6.924468495999463
Afterimage_Contrast	31	[12.  0.]	7	10	2.1727303660009056	0.5663806209995528
Afterimage_Contrast	32	[-12.   0.]	7	12	[]	[]
Afterimage_Contrast	33	[12.  0.]	6	10	3.6566631070018047	0.9831381120020524
Afterimage_Contrast	34	[12.  0.]	8	10	2.804818846001581	0.7163811380014522
Afterimage_Contrast	35	[-12.   0.]	8	12	2.973579878998862	1.7997029430043767
Afterimage_Contrast	36	[-12.   0.]	8	10	2.887637422994885	1.1831235429999651
Afterimage_Contrast	37	[12.  0.]	6	11	[]	[]
Afterimage_Contrast	38	[12.  0.]	8	10	[]	[]
Afterimage_Contrast	39	[-12.   0.]	7	11	[]	[]
Afterimage_Contrast	40	[-12.   0.]	8	11	[]	[]
Afterimage_Contrast	41	[12.  0.]	7	12	3.196253879003052	1.0777679809980327
Afterimage_Contrast	42	[-12.   0.]	7	12	2.505770799005404	1.2830620309978258
Afterimage_Contrast	43	[-12.   0.]	7	11	[]	[]
Afterimage_Contrast	44	[12.  0.]	7	10	1.8562410980011919	0.7829574269999284
Afterimage_Contrast	45	[12.  0.]	8	11	1.7754084960033651	1.132992064995051
Afterimage_Contrast	46	[-12.   0.]	8	11	[]	[]
Afterimage_Contrast	47	[-12.   0.]	8	12	2.2212600319980993	2.266611069004284
Afterimage_Contrast	48	[-12.   0.]	6	12	[]	[]
