Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	6	11	5	5
Real_Blur	2	[12, 0]	7	10	5	2
Real_Blur	3	[-12, 0]	6	10	15	24
Real_Blur	4	[12, 0]	8	10	5	5
Real_Blur	5	[-12, 0]	7	10	15	14
Real_Blur	6	[12, 0]	6	12	5	4
Real_Blur	7	[12, 0]	6	12	10	8
Real_Blur	8	[-12, 0]	8	11	5	6
Real_Blur	9	[12, 0]	7	12	5	3
Real_Blur	10	[12, 0]	8	10	5	4
Real_Blur	11	[12, 0]	7	12	15	12
Real_Blur	12	[-12, 0]	7	11	10	7
Real_Blur	13	[12, 0]	8	10	15	15
Real_Blur	14	[12, 0]	6	12	15	21
Real_Blur	15	[-12, 0]	8	10	5	3
Real_Blur	16	[-12, 0]	8	10	15	10
Real_Blur	17	[-12, 0]	6	11	5	5
Real_Blur	18	[12, 0]	7	12	15	10
Real_Blur	19	[-12, 0]	7	11	5	3
Real_Blur	20	[12, 0]	8	12	5	4
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	6	10	8
Afterimage_Blur	2	[12, 0]	6	12	5
Afterimage_Blur	3	[-12, 0]	6	12	3
Afterimage_Blur	4	[-12, 0]	8	10	6
Afterimage_Blur	5	[12, 0]	8	12	4
Afterimage_Blur	6	[-12, 0]	7	11	3
Afterimage_Blur	7	[-12, 0]	6	12	6
Afterimage_Blur	8	[-12, 0]	6	10	2
Afterimage_Blur	9	[12, 0]	6	10	10
Afterimage_Blur	10	[12, 0]	8	12	9
Afterimage_Blur	11	[-12, 0]	8	11	6
Afterimage_Blur	12	[-12, 0]	7	10	5
Afterimage_Blur	13	[12, 0]	7	11	8
Afterimage_Blur	14	[-12, 0]	7	12	12
Afterimage_Blur	15	[12, 0]	7	10	6
Afterimage_Blur	16	[-12, 0]	8	11	12
Afterimage_Blur	17	[-12, 0]	6	11	7
Afterimage_Blur	18	[12, 0]	8	10	5
Afterimage_Blur	19	[12, 0]	8	12	7
Afterimage_Blur	20	[-12, 0]	7	12	6
Afterimage_Blur	21	[-12, 0]	6	11	10
Afterimage_Blur	22	[12, 0]	6	12	7
Afterimage_Blur	23	[-12, 0]	7	12	11
Afterimage_Blur	24	[12, 0]	6	11	11
Afterimage_Blur	25	[-12, 0]	6	10	16
Afterimage_Blur	26	[12, 0]	8	11	8
Afterimage_Blur	27	[12, 0]	8	12	11
Afterimage_Blur	28	[12, 0]	6	12	5
Afterimage_Blur	29	[-12, 0]	7	10	9
Afterimage_Blur	30	[12, 0]	8	10	4
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	6
Real_Contrast	2	[12, 0]	6
Real_Contrast	3	[-12, 0]	6
Real_Contrast	4	[12, 0]	6
Real_Contrast	5	[-12, 0]	6
Real_Contrast	6	[-12, 0]	7
Real_Contrast	7	[12, 0]	8
Real_Contrast	8	[12, 0]	6
Real_Contrast	9	[-12, 0]	6
Real_Contrast	10	[12, 0]	7
Real_Contrast	11	[12, 0]	6
Real_Contrast	12	[-12, 0]	8
Real_Contrast	13	[-12, 0]	7
Real_Contrast	14	[12, 0]	7
Real_Contrast	15	[-12, 0]	7
Real_Contrast	16	[12, 0]	8
Real_Contrast	17	[12, 0]	6
Real_Contrast	18	[-12, 0]	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	6	11	1.2933024180001667	4.51595203099987
Afterimage_Contrast	2	[12.  0.]	8	12	0.5928394809998281	5.498082834000343
Afterimage_Contrast	3	[12.  0.]	8	10	1.29348280800059	5.748442626999349
Afterimage_Contrast	4	[-12.   0.]	8	10	0.9411768889995074	4.532500178000191
Afterimage_Contrast	5	[12.  0.]	8	12	0.24192664200018044	6.515901880999991
Afterimage_Contrast	6	[-12.   0.]	8	12	2.6754971609998393	8.131782987000406
Afterimage_Contrast	7	[-12.   0.]	6	11	1.6748283940005422	6.082565888999852
Afterimage_Contrast	8	[-12.   0.]	7	11	1.7582534909997776	6.5495421080004235
Afterimage_Contrast	9	[-12.   0.]	8	12	1.7425181219996375	6.681811108000147
Afterimage_Contrast	10	[12.  0.]	7	12	1.2909644000001208	4.800929003999954
Afterimage_Contrast	11	[-12.   0.]	6	11	2.6760320169996703	5.313901053000336
Afterimage_Contrast	12	[12.  0.]	6	10	2.3607858140003373	4.415874927999539
Afterimage_Contrast	13	[12.  0.]	7	11	1.0580327489997217	5.4492105770004855
Afterimage_Contrast	14	[-12.   0.]	6	12	1.876187275999655	5.0992576630005715
Afterimage_Contrast	15	[-12.   0.]	6	11	1.793089253999824	4.715552063999894
Afterimage_Contrast	16	[-12.   0.]	8	10	2.1582281880000664	6.782396034000158
Afterimage_Contrast	17	[12.  0.]	8	10	1.8592912260000958	4.165895709999859
Afterimage_Contrast	18	[12.  0.]	8	11	1.6931111240000973	6.464375148999352
Afterimage_Contrast	19	[-12.   0.]	6	12	1.8422957679995307	5.615731287000017
Afterimage_Contrast	20	[12.  0.]	6	11	2.0430513430001156	5.182537512999261
Afterimage_Contrast	21	[-12.   0.]	6	12	3.2749512990003495	5.915866000999813
Afterimage_Contrast	22	[12.  0.]	6	12	1.2920522790000177	4.815749104000133
Afterimage_Contrast	23	[-12.   0.]	6	12	2.1918585450002865	6.26566350199937
Afterimage_Contrast	24	[-12.   0.]	8	10	2.109406680000575	5.1314576869999655
Afterimage_Contrast	25	[-12.   0.]	8	10	2.724014962000183	5.267168823000247
Afterimage_Contrast	26	[-12.   0.]	7	10	3.241239296999993	3.800493500999437
Afterimage_Contrast	27	[12.  0.]	8	11	1.6935487860000649	5.032688250999854
Afterimage_Contrast	28	[-12.   0.]	6	12	2.5919588700007807	4.765816023999832
Afterimage_Contrast	29	[-12.   0.]	6	11	1.9423354170003222	4.599142672000198
Afterimage_Contrast	30	[12.  0.]	6	11	2.7088754930000505	4.082709932000398
Afterimage_Contrast	31	[12.  0.]	8	10	1.7089756799996394	5.082903794000231
Afterimage_Contrast	32	[-12.   0.]	8	11	2.159849788000429	5.049298566999823
Afterimage_Contrast	33	[12.  0.]	8	10	1.0915950830003567	7.882687362999604
Afterimage_Contrast	34	[-12.   0.]	7	10	2.292744746000608	4.732743626999763
Afterimage_Contrast	35	[12.  0.]	6	10	1.2407914099994741	4.81739717399978
Afterimage_Contrast	36	[-12.   0.]	6	11	1.2116465319995768	4.966017861000182
Afterimage_Contrast	37	[-12.   0.]	7	11	1.4954175230004694	5.182689147999554
Afterimage_Contrast	38	[-12.   0.]	6	10	1.8734611159998167	7.932894577000297
Afterimage_Contrast	39	[-12.   0.]	6	11	1.4412320689998523	6.432822563000627
Afterimage_Contrast	40	[12.  0.]	8	11	1.310629759999756	4.016138013000273
Afterimage_Contrast	41	[12.  0.]	7	10	0.9904342949994316	4.915469457000654
Afterimage_Contrast	42	[12.  0.]	7	10	1.6755304959997375	4.11594720300036
Afterimage_Contrast	43	[12.  0.]	7	12	2.406393730999298	4.581517846000679
