Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	7	11	10	9
Real_Blur	2	[-12, 0]	6	12	10	10
Real_Blur	3	[12, 0]	7	10	15	14
Real_Blur	4	[12, 0]	7	10	15	9
Real_Blur	5	[12, 0]	8	12	10	7
Real_Blur	6	[-12, 0]	7	10	15	8
Real_Blur	7	[-12, 0]	8	12	15	10
Real_Blur	8	[12, 0]	7	11	15	13
Real_Blur	9	[-12, 0]	7	12	5	5
Real_Blur	10	[-12, 0]	8	12	10	5
Real_Blur	11	[-12, 0]	8	12	10	9
Real_Blur	12	[12, 0]	8	10	5	3
Real_Blur	13	[-12, 0]	7	12	5	4
Real_Blur	14	[12, 0]	8	12	10	11
Real_Blur	15	[12, 0]	8	10	10	10
Real_Blur	16	[-12, 0]	6	11	5	3
Real_Blur	17	[12, 0]	8	10	5	6
Real_Blur	18	[12, 0]	7	10	5	6
Real_Blur	19	[12, 0]	7	12	15	8
Real_Blur	20	[-12, 0]	6	11	10	6
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	8	11	3
Afterimage_Blur	2	[-12, 0]	6	10	8
Afterimage_Blur	3	[12, 0]	6	11	11
Afterimage_Blur	4	[-12, 0]	6	11	4
Afterimage_Blur	5	[12, 0]	7	11	11
Afterimage_Blur	6	[-12, 0]	8	10	11
Afterimage_Blur	7	[-12, 0]	8	12	10
Afterimage_Blur	8	[12, 0]	7	10	15
Afterimage_Blur	9	[12, 0]	8	11	6
Afterimage_Blur	10	[-12, 0]	8	12	7
Afterimage_Blur	11	[12, 0]	6	12	14
Afterimage_Blur	12	[-12, 0]	8	11	6
Afterimage_Blur	13	[12, 0]	6	12	10
Afterimage_Blur	14	[-12, 0]	6	11	9
Afterimage_Blur	15	[12, 0]	8	12	6
Afterimage_Blur	16	[12, 0]	6	11	11
Afterimage_Blur	17	[-12, 0]	8	10	7
Afterimage_Blur	18	[12, 0]	7	10	[]
Afterimage_Blur	19	[-12, 0]	7	10	8
Afterimage_Blur	20	[12, 0]	8	11	9
Afterimage_Blur	21	[12, 0]	7	10	11
Afterimage_Blur	22	[-12, 0]	8	10	11
Afterimage_Blur	23	[12, 0]	8	12	9
Afterimage_Blur	24	[-12, 0]	8	10	8
Afterimage_Blur	25	[-12, 0]	7	11	11
Afterimage_Blur	26	[12, 0]	8	10	6
Afterimage_Blur	27	[12, 0]	7	12	6
Afterimage_Blur	28	[12, 0]	8	11	12
Afterimage_Blur	29	[-12, 0]	8	12	9
Afterimage_Blur	30	[-12, 0]	6	11	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	8
Real_Contrast	2	[12, 0]	8
Real_Contrast	3	[12, 0]	6
Real_Contrast	4	[12, 0]	7
Real_Contrast	5	[-12, 0]	7
Real_Contrast	6	[-12, 0]	6
Real_Contrast	7	[12, 0]	6
Real_Contrast	8	[12, 0]	7
Real_Contrast	9	[12, 0]	8
Real_Contrast	10	[12, 0]	6
Real_Contrast	11	[12, 0]	8
Real_Contrast	12	[-12, 0]	6
Real_Contrast	13	[-12, 0]	8
Real_Contrast	14	[-12, 0]	6
Real_Contrast	15	[-12, 0]	7
Real_Contrast	16	[-12, 0]	6
Real_Contrast	17	[-12, 0]	7
Real_Contrast	18	[12, 0]	6
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[-12.   0.]	8	12	1.0409393879817799	5.30116040201392
Afterimage_Contrast	2	[12.  0.]	7	12	2.9399137669824995	4.399075509980321
Afterimage_Contrast	3	[12.  0.]	7	12	1.3902762160287239	7.782119358947966
Afterimage_Contrast	4	[-12.   0.]	6	10	2.706640701042488	6.8325822209590115
Afterimage_Contrast	5	[12.  0.]	8	12	1.9234618619666435	4.482319442031439
Afterimage_Contrast	6	[-12.   0.]	6	12	1.322081622958649	7.715236045012716
Afterimage_Contrast	7	[12.  0.]	7	11	0.17159937997348607	7.484827830980066
Afterimage_Contrast	8	[-12.   0.]	6	10	1.8403148140059784	8.081767613999546
Afterimage_Contrast	9	[12.  0.]	8	10	[]	[]
Afterimage_Contrast	10	[12.  0.]	8	10	1.0219684920157306	7.164706136973109
Afterimage_Contrast	11	[-12.   0.]	6	11	2.4248291949625127	8.201118730998132
Afterimage_Contrast	12	[12.  0.]	6	12	1.6904605189920403	3.3158722119987942
Afterimage_Contrast	13	[-12.   0.]	8	10	2.006356320984196	7.917046532034874
Afterimage_Contrast	14	[-12.   0.]	7	10	1.0568379239994101	7.865531372022815
Afterimage_Contrast	15	[-12.   0.]	6	11	2.138446530967485	6.015339447010774
Afterimage_Contrast	16	[12.  0.]	7	12	1.8563198170159012	5.6655712819774635
Afterimage_Contrast	17	[-12.   0.]	6	10	1.5233972079586238	8.330888984026387
Afterimage_Contrast	18	[-12.   0.]	6	10	1.407191327016335	7.931063188007101
Afterimage_Contrast	19	[-12.   0.]	6	12	1.9734824000042863	8.348570203001145
Afterimage_Contrast	20	[-12.   0.]	6	10	1.4882717530126683	8.301320703001693
Afterimage_Contrast	21	[12.  0.]	8	11	2.4735741509939544	6.066511381010059
Afterimage_Contrast	22	[12.  0.]	6	10	1.9556744809960946	7.598804201988969
Afterimage_Contrast	23	[-12.   0.]	8	12	3.0230834879912436	4.7658141370047815
Afterimage_Contrast	24	[12.  0.]	6	12	4.3391553980181925	3.1522179559688084
Afterimage_Contrast	25	[-12.   0.]	7	11	2.187746202980634	8.635444590006955
Afterimage_Contrast	26	[12.  0.]	8	12	2.206168681033887	6.551479844958521
Afterimage_Contrast	27	[-12.   0.]	7	11	1.7857377179898322	6.367454546969384
Afterimage_Contrast	28	[-12.   0.]	6	12	1.4550482179620303	8.148631663993001
Afterimage_Contrast	29	[-12.   0.]	6	10	1.5224163529928774	8.349309943965636
Afterimage_Contrast	30	[12.  0.]	7	11	1.672819482977502	3.73504060797859
Afterimage_Contrast	31	[-12.   0.]	8	11	1.4047871489892714	5.834847284015268
Afterimage_Contrast	32	[-12.   0.]	7	12	1.8712419270304963	7.665204882971011
Afterimage_Contrast	33	[12.  0.]	7	12	2.639200154982973	5.1010253559798
Afterimage_Contrast	34	[-12.   0.]	6	11	1.3897244239924476	6.91500120703131
Afterimage_Contrast	35	[-12.   0.]	8	11	1.8391332140308805	5.78231852396857
Afterimage_Contrast	36	[12.  0.]	6	11	1.2551702500204556	4.766644180985168
Afterimage_Contrast	37	[12.  0.]	7	11	2.0745465860236436	5.132808113005012
Afterimage_Contrast	38	[12.  0.]	8	12	3.3063618509913795	1.4856476800050586
Afterimage_Contrast	39	[12.  0.]	6	10	2.1900460069882683	5.6994006290333346
Afterimage_Contrast	40	[12.  0.]	7	10	2.290575698018074	5.334376904997043
Afterimage_Contrast	41	[-12.   0.]	8	10	2.922702613985166	6.951599221036304
Afterimage_Contrast	42	[12.  0.]	8	11	2.77349387697177	6.684796327026561
Afterimage_Contrast	43	[12.  0.]	6	11	2.923502617981285	5.40145492402371
