Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	6	11	15	0
Real_Blur	2	[12, 0]	7	11	15	15
Real_Blur	3	[-12, 0]	6	12	5	9
Real_Blur	4	[12, 0]	7	10	5	2
Real_Blur	5	[12, 0]	8	12	5	18
Real_Blur	6	[-12, 0]	8	12	10	8
Real_Blur	7	[-12, 0]	7	12	15	12
Real_Blur	8	[-12, 0]	6	12	15	11
Real_Blur	9	[-12, 0]	6	10	5	7
Real_Blur	10	[-12, 0]	6	11	5	7
Real_Blur	11	[-12, 0]	6	10	5	0
Real_Blur	12	[-12, 0]	7	10	5	3
Real_Blur	13	[12, 0]	7	12	15	8
Real_Blur	14	[-12, 0]	8	12	15	11
Real_Blur	15	[-12, 0]	7	12	10	16
Real_Blur	16	[12, 0]	6	12	5	4
Real_Blur	17	[12, 0]	8	10	10	7
Real_Blur	18	[12, 0]	7	11	15	8
Real_Blur	19	[12, 0]	8	10	10	9
Real_Blur	20	[-12, 0]	7	10	15	19
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	7	12	9
Afterimage_Blur	2	[-12, 0]	7	12	10
Afterimage_Blur	3	[-12, 0]	7	10	7
Afterimage_Blur	4	[-12, 0]	7	10	6
Afterimage_Blur	5	[12, 0]	7	12	6
Afterimage_Blur	6	[-12, 0]	6	10	7
Afterimage_Blur	7	[12, 0]	8	10	5
Afterimage_Blur	8	[12, 0]	7	12	8
Afterimage_Blur	9	[-12, 0]	6	11	7
Afterimage_Blur	10	[-12, 0]	7	11	6
Afterimage_Blur	11	[12, 0]	6	10	7
Afterimage_Blur	12	[-12, 0]	8	11	6
Afterimage_Blur	13	[-12, 0]	6	11	3
Afterimage_Blur	14	[12, 0]	7	12	9
Afterimage_Blur	15	[12, 0]	8	11	10
Afterimage_Blur	16	[12, 0]	7	10	7
Afterimage_Blur	17	[-12, 0]	6	12	6
Afterimage_Blur	18	[-12, 0]	7	12	4
Afterimage_Blur	19	[12, 0]	7	12	9
Afterimage_Blur	20	[12, 0]	8	11	8
Afterimage_Blur	21	[-12, 0]	7	11	9
Afterimage_Blur	22	[12, 0]	8	12	8
Afterimage_Blur	23	[-12, 0]	8	12	7
Afterimage_Blur	24	[12, 0]	7	12	7
Afterimage_Blur	25	[-12, 0]	6	10	7
Afterimage_Blur	26	[12, 0]	7	10	6
Afterimage_Blur	27	[-12, 0]	8	11	10
Afterimage_Blur	28	[12, 0]	6	11	8
Afterimage_Blur	29	[-12, 0]	7	11	10
Afterimage_Blur	30	[12, 0]	7	12	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	7
Real_Contrast	2	[-12, 0]	6
Real_Contrast	3	[12, 0]	8
Real_Contrast	4	[-12, 0]	6
Real_Contrast	5	[-12, 0]	8
Real_Contrast	6	[-12, 0]	6
Real_Contrast	7	[12, 0]	8
Real_Contrast	8	[12, 0]	6
Real_Contrast	9	[12, 0]	7
Real_Contrast	10	[12, 0]	8
Real_Contrast	11	[-12, 0]	8
Real_Contrast	12	[12, 0]	7
Real_Contrast	13	[-12, 0]	6
Real_Contrast	14	[-12, 0]	6
Real_Contrast	15	[12, 0]	8
Real_Contrast	16	[12, 0]	8
Real_Contrast	17	[-12, 0]	7
Real_Contrast	18	[12, 0]	7
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	7	10	0.13835315300002549	2.949517741999898
Afterimage_Contrast	2	[-12.   0.]	6	11	0.12986022499990213	3.847606036000343
Afterimage_Contrast	3	[-12.   0.]	7	11	0.12502591600014057	4.280776993000018
Afterimage_Contrast	4	[-12.   0.]	7	11	0.9428222900000947	9.048921082999641
Afterimage_Contrast	5	[12.  0.]	6	12	0.20894970400013335	6.550690314999883
Afterimage_Contrast	6	[12.  0.]	8	10	0.09235898900033135	5.433051360999798
Afterimage_Contrast	7	[12.  0.]	6	12	0.04182328399974722	7.298993069000062
Afterimage_Contrast	8	[-12.   0.]	6	11	0.10854493400029241	7.2659427309999955
Afterimage_Contrast	9	[12.  0.]	8	11	1.7578528880003432	1.9666194269998414
Afterimage_Contrast	10	[-12.   0.]	8	12	0.12527018100036003	5.966380487999686
Afterimage_Contrast	11	[12.  0.]	8	11	0.1390978620001988	6.349424380000073
Afterimage_Contrast	12	[-12.   0.]	7	11	0.12750138799992783	3.9158877810000376
Afterimage_Contrast	13	[12.  0.]	6	10	0.17638079799962725	6.563548492000336
Afterimage_Contrast	14	[-12.   0.]	7	12	0.3264031740000064	6.647399170999961
Afterimage_Contrast	15	[12.  0.]	6	12	0.05846532399982607	6.732427763000032
Afterimage_Contrast	16	[-12.   0.]	8	10	0.24277049800002715	5.649118222000197
Afterimage_Contrast	17	[12.  0.]	7	12	0.07550975900039703	7.032800887999656
Afterimage_Contrast	18	[12.  0.]	8	10	0.1452507929998319	4.697041997999804
Afterimage_Contrast	19	[12.  0.]	8	10	0.0416854710001644	4.633020890999887
Afterimage_Contrast	20	[12.  0.]	8	12	0.16055662500002654	5.6823966450001535
Afterimage_Contrast	21	[12.  0.]	6	10	0.044983194999986154	6.9963602180000635
Afterimage_Contrast	22	[12.  0.]	8	12	0.34215084899960857	6.213876105000054
Afterimage_Contrast	23	[12.  0.]	8	10	0.13785595099989223	6.1823125699997945
Afterimage_Contrast	24	[-12.   0.]	6	10	0.14434914599996773	6.713396734000071
Afterimage_Contrast	25	[12.  0.]	8	10	0.35611928700018325	5.899916115999986
Afterimage_Contrast	26	[12.  0.]	8	11	0.12516020900011426	5.182447232999948
Afterimage_Contrast	27	[-12.   0.]	6	11	0.22886229999994612	6.679593678999936
Afterimage_Contrast	28	[12.  0.]	6	10	0.5430440070003897	4.565013349999845
Afterimage_Contrast	29	[-12.   0.]	7	10	0.7085658330001934	4.815880299000128
Afterimage_Contrast	30	[-12.   0.]	7	11	0.2600575559999925	5.730694864999805
Afterimage_Contrast	31	[12.  0.]	8	12	0.6417574500001137	4.216445355999895
Afterimage_Contrast	32	[-12.   0.]	6	10	0.49314533899996604	5.99926381000023
Afterimage_Contrast	33	[12.  0.]	7	10	0.16135290800002622	5.9808027969997966
Afterimage_Contrast	34	[-12.   0.]	7	11	0.20979844399971626	5.313737657000274
Afterimage_Contrast	35	[-12.   0.]	7	10	0.10928687099976742	7.431615125999997
Afterimage_Contrast	36	[-12.   0.]	8	11	0.25850886999978684	5.182098021000002
Afterimage_Contrast	37	[-12.   0.]	6	11	0.12477011100008895	5.615353589999813
Afterimage_Contrast	38	[12.  0.]	6	11	0.0929638879997583	2.4810318200002257
Afterimage_Contrast	39	[12.  0.]	7	11	0.05781820899983359	3.732814232000237
Afterimage_Contrast	40	[-12.   0.]	7	12	0.15570550600023125	5.980759062999823
Afterimage_Contrast	41	[-12.   0.]	8	12	0.12238203000015346	6.698923987999933
Afterimage_Contrast	42	[12.  0.]	6	10	0.17549288899999738	6.799270218999936
Afterimage_Contrast	43	[-12.   0.]	6	10	0.17574573399997462	5.21630646299991
Afterimage_Contrast	44	[-12.   0.]	7	11	0.11004207700034385	5.582288969999809
Afterimage_Contrast	45	[-12.   0.]	6	10	0.12494295699980285	4.199447879000218
Afterimage_Contrast	46	[12.  0.]	8	11	0.09190832600006615	3.7817135499999495
Afterimage_Contrast	47	[-12.   0.]	8	11	0.12259674100005213	7.265728334999949
Afterimage_Contrast	48	[-12.   0.]	6	12	0.5795068090001223	5.6482032180001625
Afterimage_Contrast	49	[-12.   0.]	8	12	0.1931826230002116	4.063885591000144
Afterimage_Contrast	50	[12.  0.]	6	12	0.138223521999862	5.399490250000326
Afterimage_Contrast	51	[-12.   0.]	6	12	0.027116938999824924	4.550259415000255
Afterimage_Contrast	52	[12.  0.]	8	11	0.10576565100018342	5.115875534000224
Afterimage_Contrast	53	[12.  0.]	6	11	0.1585519700001896	5.449342644999888
Afterimage_Contrast	54	[12.  0.]	7	11	0.059624549999170995	5.532079688000522
Afterimage_Contrast	55	[-12.   0.]	8	10	0.13998370100034663	5.14973142999952
Afterimage_Contrast	56	[-12.   0.]	6	12	0.0933311529997809	6.3338047090001055
Afterimage_Contrast	57	[-12.   0.]	7	11	0.44294909100062796	4.58273217399983
Afterimage_Contrast	58	[-12.   0.]	6	10	0.21099865599990153	4.647027767000509
Afterimage_Contrast	59	[12.  0.]	8	10	0.12583394600005704	2.563790524000069
Afterimage_Contrast	60	[12.  0.]	8	10	0.09220948700021836	2.466580602999784
Task_Type	Trial_Number	Trial_Condition	Afterimage_Present	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Question_Response
Afterimage_Matching	1	1	0	[12, 0]	8	12	1
Afterimage_Matching	2	4	0	[-12, 0]	7	12	4
Afterimage_Matching	3	1	1	[12, 0]	8	11	3
Afterimage_Matching	4	1	0	[-12, 0]	8	11	2
Afterimage_Matching	5	4	0	[12, 0]	8	12	4
Afterimage_Matching	6	1	0	[12, 0]	8	12	2
Afterimage_Matching	7	1	0	[12, 0]	7	11	2
Afterimage_Matching	8	1	1	[12, 0]	8	11	3
Afterimage_Matching	9	4	0	[12, 0]	7	12	4
Afterimage_Matching	10	4	0	[12, 0]	8	11	4
Afterimage_Matching	11	1	1	[12, 0]	6	11	3
Afterimage_Matching	12	1	0	[-12, 0]	6	12	1
Afterimage_Matching	13	1	1	[12, 0]	8	10	3
Afterimage_Matching	14	4	0	[-12, 0]	6	10	4
Afterimage_Matching	15	1	1	[12, 0]	8	12	3
Afterimage_Matching	16	4	0	[-12, 0]	6	10	4
Afterimage_Matching	17	1	1	[-12, 0]	8	10	3
Afterimage_Matching	18	4	0	[12, 0]	7	11	4
Afterimage_Matching	19	4	0	[-12, 0]	7	11	4
Afterimage_Matching	20	1	1	[12, 0]	8	10	3
Afterimage_Matching	21	1	0	[12, 0]	6	10	2
Afterimage_Matching	22	1	1	[-12, 0]	8	12	2
Afterimage_Matching	23	1	1	[12, 0]	6	10	3
Afterimage_Matching	24	4	0	[12, 0]	8	10	4
Afterimage_Matching	25	1	0	[12, 0]	6	11	2
Afterimage_Matching	26	1	1	[-12, 0]	7	11	3
Afterimage_Matching	27	4	0	[-12, 0]	7	10	3
Afterimage_Matching	28	1	1	[-12, 0]	8	11	3
Afterimage_Matching	29	1	1	[-12, 0]	8	11	3
Afterimage_Matching	30	1	1	[12, 0]	7	12	3
Afterimage_Matching	31	1	0	[-12, 0]	7	12	1
Afterimage_Matching	32	1	0	[12, 0]	6	12	2
Afterimage_Matching	33	4	0	[12, 0]	6	10	4
Afterimage_Matching	34	1	0	[-12, 0]	6	10	1
Afterimage_Matching	35	4	0	[-12, 0]	7	12	4
Afterimage_Matching	36	1	0	[-12, 0]	8	12	1
Afterimage_Matching	37	4	0	[-12, 0]	8	10	4
Afterimage_Matching	38	1	0	[-12, 0]	7	11	1
