Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	7	10	10	5
Real_Blur	2	[-12, 0]	7	11	5	7
Real_Blur	3	[-12, 0]	7	11	10	23
Real_Blur	4	[12, 0]	8	12	5	10
Real_Blur	5	[12, 0]	7	10	5	5
Real_Blur	6	[12, 0]	7	12	15	16
Real_Blur	7	[-12, 0]	6	12	10	3
Real_Blur	8	[12, 0]	8	10	15	12
Real_Blur	9	[12, 0]	6	10	10	8
Real_Blur	10	[-12, 0]	6	10	10	9
Real_Blur	11	[12, 0]	6	12	10	9
Real_Blur	12	[-12, 0]	8	10	15	9
Real_Blur	13	[-12, 0]	8	10	5	0
Real_Blur	14	[12, 0]	7	12	15	8
Real_Blur	15	[12, 0]	6	11	10	12
Real_Blur	16	[12, 0]	6	11	10	8
Real_Blur	17	[-12, 0]	8	11	15	10
Real_Blur	18	[-12, 0]	7	10	5	2
Real_Blur	19	[12, 0]	7	10	15	13
Real_Blur	20	[12, 0]	7	11	15	11
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	6	11	12
Afterimage_Blur	2	[12, 0]	7	12	[]
Afterimage_Blur	3	[-12, 0]	6	11	10
Afterimage_Blur	4	[-12, 0]	7	12	[]
Afterimage_Blur	5	[-12, 0]	8	11	12
Afterimage_Blur	6	[-12, 0]	6	11	10
Afterimage_Blur	7	[12, 0]	7	12	12
Afterimage_Blur	8	[-12, 0]	7	10	16
Afterimage_Blur	9	[12, 0]	8	11	[]
Afterimage_Blur	10	[12, 0]	8	12	[]
Afterimage_Blur	11	[12, 0]	7	11	15
Afterimage_Blur	12	[12, 0]	7	10	18
Afterimage_Blur	13	[-12, 0]	8	11	4
Afterimage_Blur	14	[12, 0]	7	11	9
Afterimage_Blur	15	[12, 0]	8	10	10
Afterimage_Blur	16	[12, 0]	7	10	9
Afterimage_Blur	17	[-12, 0]	8	10	[]
Afterimage_Blur	18	[12, 0]	7	10	11
Afterimage_Blur	19	[-12, 0]	7	12	[]
Afterimage_Blur	20	[12, 0]	6	12	7
Afterimage_Blur	21	[12, 0]	8	12	[]
Afterimage_Blur	22	[-12, 0]	6	11	9
Afterimage_Blur	23	[-12, 0]	7	10	5
Afterimage_Blur	24	[12, 0]	6	11	[]
Afterimage_Blur	25	[-12, 0]	8	10	[]
Afterimage_Blur	26	[-12, 0]	7	11	8
Afterimage_Blur	27	[-12, 0]	6	10	4
Afterimage_Blur	28	[12, 0]	7	10	[]
Afterimage_Blur	29	[-12, 0]	7	12	[]
Afterimage_Blur	30	[12, 0]	8	11	3
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	8
Real_Contrast	2	[12, 0]	8
Real_Contrast	3	[-12, 0]	8
Real_Contrast	4	[12, 0]	7
Real_Contrast	5	[12, 0]	8
Real_Contrast	6	[-12, 0]	7
Real_Contrast	7	[-12, 0]	8
Real_Contrast	8	[-12, 0]	7
Real_Contrast	9	[-12, 0]	7
Real_Contrast	10	[12, 0]	6
Real_Contrast	11	[12, 0]	7
Real_Contrast	12	[12, 0]	7
Real_Contrast	13	[-12, 0]	8
Real_Contrast	14	[12, 0]	7
Real_Contrast	15	[12, 0]	6
Real_Contrast	16	[-12, 0]	6
Real_Contrast	17	[-12, 0]	8
Real_Contrast	18	[12, 0]	7
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[-12.   0.]	6	11	2.758519379000063	0.8832143680010631
Afterimage_Contrast	2	[-12.   0.]	7	10	[]	[]
Afterimage_Contrast	3	[12.  0.]	6	11	1.0100345800019568	7.3673737780009105
Afterimage_Contrast	4	[-12.   0.]	6	11	0.3572243779999553	1.7659342580009252
Afterimage_Contrast	5	[-12.   0.]	6	10	2.9561894680009573	4.63172060099896
Afterimage_Contrast	6	[12.  0.]	7	10	6.877030422998359	3.099163178001618
Afterimage_Contrast	7	[-12.   0.]	6	11	[]	[]
Afterimage_Contrast	8	[-12.   0.]	7	10	[]	[]
Afterimage_Contrast	9	[-12.   0.]	8	12	0.4760474629983946	6.801441143001284
Afterimage_Contrast	10	[12.  0.]	8	12	[]	[]
Afterimage_Contrast	11	[12.  0.]	8	11	0.7075230549999105	4.849469721000787
Afterimage_Contrast	12	[12.  0.]	6	12	[]	[]
Afterimage_Contrast	13	[-12.   0.]	6	11	0.7193952240013459	8.06532880499799
Afterimage_Contrast	14	[-12.   0.]	6	10	2.158800239001721	7.434953130999929
Afterimage_Contrast	15	[12.  0.]	8	11	0.5089110910012096	9.199408371998288
Afterimage_Contrast	16	[-12.   0.]	7	11	0.34237279900116846	8.851035034000233
Afterimage_Contrast	17	[-12.   0.]	7	12	[]	[]
Afterimage_Contrast	18	[-12.   0.]	8	10	[]	[]
Afterimage_Contrast	19	[-12.   0.]	6	12	[]	[]
Afterimage_Contrast	20	[12.  0.]	8	11	4.397984437000559	4.027348051000445
Afterimage_Contrast	21	[-12.   0.]	7	12	1.7725682080017577	4.998134942998149
Afterimage_Contrast	22	[12.  0.]	8	12	[]	[]
Afterimage_Contrast	23	[-12.   0.]	8	10	[]	[]
Afterimage_Contrast	24	[12.  0.]	7	12	[]	[]
Afterimage_Contrast	25	[12.  0.]	6	10	[]	[]
Afterimage_Contrast	26	[12.  0.]	8	11	[]	[]
Afterimage_Contrast	27	[-12.   0.]	7	11	2.4645093710023502	5.845795155997621
Afterimage_Contrast	28	[-12.   0.]	8	11	2.7631479920019046	4.4680219019974174
Afterimage_Contrast	29	[12.  0.]	8	10	1.692555903999164	4.731772564002313
Afterimage_Contrast	30	[12.  0.]	8	10	2.792315945996961	4.8157194500017795
Afterimage_Contrast	31	[-12.   0.]	8	10	0.533932910002477	4.515888725996774
Afterimage_Contrast	32	[12.  0.]	8	10	1.7906875090011454	4.816332770998997
Afterimage_Contrast	33	[-12.   0.]	6	11	[]	[]
Afterimage_Contrast	34	[12.  0.]	6	11	1.7095676690005348	4.666053909000766
Afterimage_Contrast	35	[12.  0.]	7	11	[]	[]
Afterimage_Contrast	36	[-12.   0.]	7	10	[]	[]
Afterimage_Contrast	37	[-12.   0.]	7	12	[]	[]
Afterimage_Contrast	38	[-12.   0.]	8	10	[]	[]
Afterimage_Contrast	39	[-12.   0.]	8	11	1.6973553560019354	0.8274425909985439
Afterimage_Contrast	40	[12.  0.]	6	10	[]	[]
Afterimage_Contrast	41	[12.  0.]	8	11	[]	[]
Afterimage_Contrast	42	[12.  0.]	8	11	[]	[]
Afterimage_Contrast	43	[12.  0.]	7	12	0.830352002998552	5.194593068001268
Afterimage_Contrast	44	[-12.   0.]	6	10	1.5088551579974592	6.88119926500076
Afterimage_Contrast	45	[-12.   0.]	6	12	2.7080429259985976	5.1494680420000805
Afterimage_Contrast	46	[12.  0.]	6	11	2.6757322670018766	4.115800817999116
Afterimage_Contrast	47	[-12.   0.]	6	10	2.3737995990013587	4.582747735999874
Afterimage_Contrast	48	[12.  0.]	6	10	2.1923419180020574	5.0995331819976855
