Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	7	12	5	None
Real_Blur	2	[-12, 0]	8	12	10	None
Real_Blur	3	[12, 0]	6	10	10	8
Real_Blur	4	[12, 0]	7	10	5	3
Real_Blur	5	[12, 0]	8	11	15	11
Real_Blur	6	[-12, 0]	8	12	10	9
Real_Blur	7	[-12, 0]	6	10	15	12
Real_Blur	8	[12, 0]	6	12	15	24
Real_Blur	9	[-12, 0]	6	12	10	8
Real_Blur	10	[-12, 0]	7	12	5	5
Real_Blur	11	[12, 0]	8	11	5	6
Real_Blur	12	[12, 0]	8	11	5	5
Real_Blur	13	[12, 0]	8	10	5	1
Real_Blur	14	[-12, 0]	6	10	10	12
Real_Blur	15	[-12, 0]	7	12	5	1
Real_Blur	16	[12, 0]	8	10	5	4
Real_Blur	17	[12, 0]	8	11	10	8
Real_Blur	18	[12, 0]	8	12	15	8
Real_Blur	19	[-12, 0]	6	12	15	17
Real_Blur	20	[-12, 0]	8	11	5	1
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	6	12	10
Afterimage_Blur	2	[-12, 0]	7	10	12
Afterimage_Blur	3	[-12, 0]	6	12	9
Afterimage_Blur	4	[-12, 0]	7	10	9
Afterimage_Blur	5	[-12, 0]	7	12	7
Afterimage_Blur	6	[12, 0]	7	11	13
Afterimage_Blur	7	[-12, 0]	7	12	8
Afterimage_Blur	8	[12, 0]	8	11	9
Afterimage_Blur	9	[12, 0]	6	12	12
Afterimage_Blur	10	[12, 0]	7	12	11
Afterimage_Blur	11	[12, 0]	7	10	11
Afterimage_Blur	12	[-12, 0]	8	11	10
Afterimage_Blur	13	[12, 0]	7	12	11
Afterimage_Blur	14	[-12, 0]	6	11	8
Afterimage_Blur	15	[-12, 0]	7	11	9
Afterimage_Blur	16	[12, 0]	6	11	9
Afterimage_Blur	17	[12, 0]	6	12	11
Afterimage_Blur	18	[-12, 0]	8	10	8
Afterimage_Blur	19	[12, 0]	7	11	10
Afterimage_Blur	20	[12, 0]	7	11	10
Afterimage_Blur	21	[-12, 0]	8	11	9
Afterimage_Blur	22	[-12, 0]	7	10	9
Afterimage_Blur	23	[-12, 0]	6	10	12
Afterimage_Blur	24	[12, 0]	6	11	11
Afterimage_Blur	25	[12, 0]	8	11	9
Afterimage_Blur	26	[12, 0]	6	11	9
Afterimage_Blur	27	[-12, 0]	7	12	9
Afterimage_Blur	28	[-12, 0]	8	11	12
Afterimage_Blur	29	[12, 0]	8	12	10
Afterimage_Blur	30	[-12, 0]	7	12	10
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[12, 0]	6
Real_Contrast	2	[12, 0]	8
Real_Contrast	3	[12, 0]	7
Real_Contrast	4	[12, 0]	7
Real_Contrast	5	[-12, 0]	8
Real_Contrast	6	[12, 0]	7
Real_Contrast	7	[12, 0]	6
Real_Contrast	8	[-12, 0]	6
Real_Contrast	9	[-12, 0]	6
Real_Contrast	10	[-12, 0]	8
Real_Contrast	11	[-12, 0]	7
Real_Contrast	12	[12, 0]	8
Real_Contrast	13	[-12, 0]	6
Real_Contrast	14	[12, 0]	6
Real_Contrast	15	[-12, 0]	6
Real_Contrast	16	[-12, 0]	7
Real_Contrast	17	[12, 0]	6
Real_Contrast	18	[-12, 0]	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	7	12	0.409566217000247	6.334847784999965
Afterimage_Contrast	2	[-12.   0.]	8	12	0.5243766300000061	6.184866752999824
Afterimage_Contrast	3	[12.  0.]	8	10	0.6580133190000197	6.681954646000122
Afterimage_Contrast	4	[-12.   0.]	6	10	0.6087929740001528	6.913903274999939
Afterimage_Contrast	5	[-12.   0.]	7	12	0.27719957599992995	7.9664095020002605
Afterimage_Contrast	6	[12.  0.]	6	12	0.6598260860000664	7.448609144999864
Afterimage_Contrast	7	[12.  0.]	8	11	0.48993680499961556	8.434276413000134
Afterimage_Contrast	8	[-12.   0.]	7	11	0.7757731930000773	9.634120876999987
Afterimage_Contrast	9	[12.  0.]	7	12	0.7406606860004104	7.749049416999696
Afterimage_Contrast	10	[-12.   0.]	6	10	0.6422487109994108	7.983732151000368
Afterimage_Contrast	11	[-12.   0.]	6	10	0.4112548989996867	6.979552318999595
Afterimage_Contrast	12	[-12.   0.]	7	10	0.39563780600019527	7.617177776000062
Afterimage_Contrast	13	[12.  0.]	7	11	0.35904937099985546	7.915585426000689
Afterimage_Contrast	14	[12.  0.]	6	11	0.39204017000065505	7.465935922999961
Afterimage_Contrast	15	[-12.   0.]	8	10	0.1427309860000605	5.451562413999454
Afterimage_Contrast	16	[12.  0.]	8	12	0.3238187040005869	9.666689028999826
Afterimage_Contrast	17	[-12.   0.]	6	11	0.4431595460000608	6.931900214000052
Afterimage_Contrast	18	[12.  0.]	7	12	0.2763700429995879	7.315796791000139
Afterimage_Contrast	19	[-12.   0.]	6	12	0.6449659859999883	7.133985137000309
Afterimage_Contrast	20	[-12.   0.]	8	12	0.541546045999894	6.5175693020000836
Afterimage_Contrast	21	[12.  0.]	6	12	0.41056522100006987	8.467296226000144
Afterimage_Contrast	22	[-12.   0.]	8	12	0.2762348420001217	8.882099539000592
Afterimage_Contrast	23	[12.  0.]	8	12	0.3260942380002234	7.23471896799947
Afterimage_Contrast	24	[-12.   0.]	8	11	0.6260285800008205	6.484560528999282
Afterimage_Contrast	25	[12.  0.]	6	10	0.2079540069998984	7.863196848000371
Afterimage_Contrast	26	[12.  0.]	7	12	0.5577470840007663	6.967616782999357
Afterimage_Contrast	27	[12.  0.]	8	10	0.5582667829994534	6.0512628510005015
Afterimage_Contrast	28	[12.  0.]	8	10	0.37479127700044046	6.797412947999874
Afterimage_Contrast	29	[-12.   0.]	6	12	0.5742862950000927	7.266052954999395
Afterimage_Contrast	30	[12.  0.]	6	11	0.19185930999992706	9.433944268999767
Afterimage_Contrast	31	[-12.   0.]	6	10	0.3231721420006579	5.199132384999757
Afterimage_Contrast	32	[12.  0.]	8	10	0.10731884500000888	7.063733705000232
Afterimage_Contrast	33	[12.  0.]	6	11	0.7098267680003119	5.867544232999535
Afterimage_Contrast	34	[-12.   0.]	8	12	0.9586747949997516	6.434286552000231
Afterimage_Contrast	35	[12.  0.]	8	12	0.44040504199983843	6.952748372999849
Afterimage_Contrast	36	[-12.   0.]	6	11	0.7421738559996811	5.684626704999573
Afterimage_Contrast	37	[-12.   0.]	7	12	0.3570586740006547	6.217807770000036
Afterimage_Contrast	38	[12.  0.]	7	11	0.37255709700002626	5.91933147600048
Afterimage_Contrast	39	[12.  0.]	8	10	0.7236810790000163	7.051593111999864
Afterimage_Contrast	40	[12.  0.]	8	10	0.6075017109997134	7.617686028000207
Afterimage_Contrast	41	[12.  0.]	8	10	0.4393245460005346	6.301445437999973
Afterimage_Contrast	42	[-12.   0.]	6	11	0.026238532999741437	7.3152504140007295
