Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	8	10	5	8
Real_Blur	2	[12, 0]	8	11	10	4
Real_Blur	3	[12, 0]	8	10	5	1
Real_Blur	4	[12, 0]	7	10	10	11
Real_Blur	5	[-12, 0]	8	10	5	None
Real_Blur	6	[12, 0]	8	12	5	2
Real_Blur	7	[-12, 0]	6	12	15	13
Real_Blur	8	[12, 0]	7	11	10	9
Real_Blur	9	[12, 0]	6	12	5	2
Real_Blur	10	[12, 0]	8	11	10	22
Real_Blur	11	[-12, 0]	6	11	5	3
Real_Blur	12	[-12, 0]	8	10	5	0
Real_Blur	13	[-12, 0]	6	11	10	6
Real_Blur	14	[-12, 0]	6	12	5	6
Real_Blur	15	[-12, 0]	6	12	10	12
Real_Blur	16	[-12, 0]	7	12	5	4
Real_Blur	17	[-12, 0]	7	10	15	12
Real_Blur	18	[-12, 0]	8	12	15	11
Real_Blur	19	[-12, 0]	6	10	5	4
Real_Blur	20	[-12, 0]	8	11	10	11
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	8	12	4
Afterimage_Blur	2	[12, 0]	8	12	11
Afterimage_Blur	3	[12, 0]	6	12	10
Afterimage_Blur	4	[12, 0]	7	12	10
Afterimage_Blur	5	[-12, 0]	8	10	13
Afterimage_Blur	6	[-12, 0]	7	10	8
Afterimage_Blur	7	[-12, 0]	8	11	3
Afterimage_Blur	8	[12, 0]	7	10	15
Afterimage_Blur	9	[12, 0]	6	10	15
Afterimage_Blur	10	[12, 0]	8	12	13
Afterimage_Blur	11	[-12, 0]	7	10	21
Afterimage_Blur	12	[-12, 0]	6	10	8
Afterimage_Blur	13	[12, 0]	7	11	15
Afterimage_Blur	14	[-12, 0]	7	10	14
Afterimage_Blur	15	[12, 0]	8	12	14
Afterimage_Blur	16	[12, 0]	8	10	14
Afterimage_Blur	17	[12, 0]	6	11	13
Afterimage_Blur	18	[12, 0]	7	10	12
Afterimage_Blur	19	[-12, 0]	8	12	10
Afterimage_Blur	20	[12, 0]	7	11	12
Afterimage_Blur	21	[-12, 0]	7	10	12
Afterimage_Blur	22	[12, 0]	6	10	14
Afterimage_Blur	23	[-12, 0]	8	12	14
Afterimage_Blur	24	[-12, 0]	7	12	9
Afterimage_Blur	25	[-12, 0]	7	12	13
Afterimage_Blur	26	[-12, 0]	7	10	13
Afterimage_Blur	27	[12, 0]	7	10	21
Afterimage_Blur	28	[-12, 0]	6	12	8
Afterimage_Blur	29	[-12, 0]	8	11	2
Afterimage_Blur	30	[-12, 0]	7	12	13
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	8
Real_Contrast	2	[-12, 0]	6
Real_Contrast	3	[12, 0]	6
Real_Contrast	4	[-12, 0]	6
Real_Contrast	5	[12, 0]	8
Real_Contrast	6	[-12, 0]	7
Real_Contrast	7	[-12, 0]	7
Real_Contrast	8	[12, 0]	7
Real_Contrast	9	[-12, 0]	8
Real_Contrast	10	[-12, 0]	6
Real_Contrast	11	[12, 0]	6
Real_Contrast	12	[12, 0]	8
Real_Contrast	13	[12, 0]	8
Real_Contrast	14	[12, 0]	6
Real_Contrast	15	[-12, 0]	8
Real_Contrast	16	[12, 0]	8
Real_Contrast	17	[-12, 0]	7
Real_Contrast	18	[12, 0]	8
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[-12.   0.]	6	11	0.2748424999990675	5.933120827001403
Afterimage_Contrast	2	[12.  0.]	7	11	0.15716105899991817	7.899477975999616
Afterimage_Contrast	3	[12.  0.]	8	12	0.12661033800031873	4.997060089001025
Afterimage_Contrast	4	[-12.   0.]	7	11	0.07582979699873249	9.634239857001376
Afterimage_Contrast	5	[-12.   0.]	8	11	0.2597607630013954	8.49739966999914
Afterimage_Contrast	6	[12.  0.]	8	11	0.039620294999622274	5.766566180001973
Afterimage_Contrast	7	[-12.   0.]	6	10	0.02375026300069294	4.882743619000394
Afterimage_Contrast	8	[-12.   0.]	8	12	0.14182645500113722	8.598432355000114
Afterimage_Contrast	9	[12.  0.]	6	10	0.21031762300117407	9.565410244002123
Afterimage_Contrast	10	[-12.   0.]	8	12	0.8914249879999261	4.349223279998114
Afterimage_Contrast	11	[12.  0.]	7	12	0.01112013400052092	8.945751060000475
Afterimage_Contrast	12	[-12.   0.]	7	12	1.7450652489969798	6.617637344999821
Afterimage_Contrast	13	[12.  0.]	7	10	1.5913993370013486	6.402573708001
Afterimage_Contrast	14	[12.  0.]	8	11	0.32513277500038384	10.11518111300029
Afterimage_Contrast	15	[-12.   0.]	6	11	0.19101210099688615	9.452203955999721
Afterimage_Contrast	16	[12.  0.]	7	10	0.10629631499978132	7.697322134001297
Afterimage_Contrast	17	[-12.   0.]	8	10	0.39038923399857595	6.517252413999813
Afterimage_Contrast	18	[-12.   0.]	7	11	0.5745777779993659	6.71639191000213
Afterimage_Contrast	19	[12.  0.]	8	12	0.4247266129968921	5.834972830001789
Afterimage_Contrast	20	[12.  0.]	8	11	0.2239915509999264	6.565559377002501
Afterimage_Contrast	21	[12.  0.]	6	12	0.5923752739981865	7.884153413000604
Afterimage_Contrast	22	[12.  0.]	6	12	1.790478446000634	5.932106782998744
Afterimage_Contrast	23	[12.  0.]	8	11	1.6916537659999449	9.201791810999566
Afterimage_Contrast	24	[12.  0.]	7	12	0.5245517099974677	6.91573814000003
Afterimage_Contrast	25	[12.  0.]	8	10	0.19090389399934793	8.114769727002567
Afterimage_Contrast	26	[-12.   0.]	8	11	0.011526227001013467	2.599597950997122
Afterimage_Contrast	27	[12.  0.]	6	12	0.708702132000326	9.36797495999781
Afterimage_Contrast	28	[12.  0.]	7	12	0.026857290002226364	3.6974696459983534
Afterimage_Contrast	29	[12.  0.]	7	12	0.9758983310020994	4.9848305889972835
Afterimage_Contrast	30	[-12.   0.]	8	11	0.1695702649994928	1.9673343369977374
Afterimage_Contrast	31	[12.  0.]	6	10	0.17552350899859448	7.814057935000164
Afterimage_Contrast	32	[-12.   0.]	8	11	0.04181870100001106	7.350779660999251
Afterimage_Contrast	33	[-12.   0.]	8	12	0.39032472600229084	6.847627028997522
Afterimage_Contrast	34	[-12.   0.]	6	11	0.12030983899967396	10.066991882002185
Afterimage_Contrast	35	[-12.   0.]	6	12	0.1744384120029281	5.947231713998917
Afterimage_Contrast	36	[12.  0.]	6	12	2.124334521999117	6.483384870000009
Afterimage_Contrast	37	[-12.   0.]	7	10	0.04241121800077963	6.280592801002058
Afterimage_Contrast	38	[-12.   0.]	8	11	0.10253064399876166	6.949633074000303
Afterimage_Contrast	39	[-12.   0.]	6	10	0.02658501399855595	6.613485056001082
Afterimage_Contrast	40	[-12.   0.]	6	10	0.15957002399954945	7.11483877000137
Afterimage_Contrast	41	[-12.   0.]	8	12	0.07062031199893681	7.649322167999344
Afterimage_Contrast	42	[12.  0.]	7	10	0.13666345199817442	9.53467732900026
Afterimage_Contrast	43	[12.  0.]	8	10	0.12682726300045033	8.447537746000307
