Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[-12, 0]	7	10	10	15
Real_Blur	2	[-12, 0]	8	11	15	10
Real_Blur	3	[-12, 0]	8	11	5	4
Real_Blur	4	[12, 0]	6	10	10	16
Real_Blur	5	[-12, 0]	7	10	10	6
Real_Blur	6	[-12, 0]	6	10	15	14
Real_Blur	7	[-12, 0]	6	12	15	14
Real_Blur	8	[-12, 0]	8	11	15	14
Real_Blur	9	[12, 0]	8	12	5	14
Real_Blur	10	[-12, 0]	8	11	10	5
Real_Blur	11	[12, 0]	8	12	10	8
Real_Blur	12	[-12, 0]	8	11	10	8
Real_Blur	13	[-12, 0]	7	11	10	None
Real_Blur	14	[12, 0]	7	10	10	7
Real_Blur	15	[-12, 0]	7	12	5	5
Real_Blur	16	[12, 0]	8	12	15	4
Real_Blur	17	[-12, 0]	6	12	10	8
Real_Blur	18	[-12, 0]	6	12	5	7
Real_Blur	19	[12, 0]	7	10	10	12
Real_Blur	20	[-12, 0]	8	12	15	11
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	8	12	7
Afterimage_Blur	2	[-12, 0]	8	11	8
Afterimage_Blur	3	[12, 0]	8	11	11
Afterimage_Blur	4	[-12, 0]	6	11	8
Afterimage_Blur	5	[12, 0]	6	10	6
Afterimage_Blur	6	[12, 0]	6	10	6
Afterimage_Blur	7	[-12, 0]	7	10	7
Afterimage_Blur	8	[12, 0]	8	10	7
Afterimage_Blur	9	[-12, 0]	7	11	3
Afterimage_Blur	10	[12, 0]	8	10	7
Afterimage_Blur	11	[-12, 0]	8	11	4
Afterimage_Blur	12	[12, 0]	7	10	11
Afterimage_Blur	13	[-12, 0]	8	10	5
Afterimage_Blur	14	[-12, 0]	8	12	7
Afterimage_Blur	15	[12, 0]	7	10	16
Afterimage_Blur	16	[12, 0]	8	10	15
Afterimage_Blur	17	[-12, 0]	7	10	14
Afterimage_Blur	18	[12, 0]	6	12	9
Afterimage_Blur	19	[-12, 0]	6	10	15
Afterimage_Blur	20	[12, 0]	8	12	7
Afterimage_Blur	21	[12, 0]	7	10	7
Afterimage_Blur	22	[12, 0]	7	10	11
Afterimage_Blur	23	[-12, 0]	8	12	15
Afterimage_Blur	24	[-12, 0]	8	10	6
Afterimage_Blur	25	[-12, 0]	6	12	11
Afterimage_Blur	26	[-12, 0]	8	12	12
Afterimage_Blur	27	[12, 0]	6	12	9
Afterimage_Blur	28	[12, 0]	6	12	14
Afterimage_Blur	29	[-12, 0]	7	10	12
Afterimage_Blur	30	[12, 0]	8	12	12
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[-12, 0]	8
Real_Contrast	2	[12, 0]	7
Real_Contrast	3	[-12, 0]	8
Real_Contrast	4	[12, 0]	7
Real_Contrast	5	[12, 0]	6
Real_Contrast	6	[12, 0]	7
Real_Contrast	7	[12, 0]	6
Real_Contrast	8	[12, 0]	7
Real_Contrast	9	[-12, 0]	6
Real_Contrast	10	[12, 0]	6
Real_Contrast	11	[-12, 0]	8
Real_Contrast	12	[-12, 0]	6
Real_Contrast	13	[-12, 0]	7
Real_Contrast	14	[-12, 0]	8
Real_Contrast	15	[-12, 0]	8
Real_Contrast	16	[-12, 0]	6
Real_Contrast	17	[12, 0]	6
Real_Contrast	18	[12, 0]	7
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	6	12	0.7918598929995824	5.4321350879999954
Afterimage_Contrast	2	[-12.   0.]	8	10	0.43765221700004986	6.5996998010000425
Afterimage_Contrast	3	[-12.   0.]	7	10	0.807262444999651	7.782185127000048
Afterimage_Contrast	4	[-12.   0.]	6	12	0.8730993090002812	6.498707464999825
Afterimage_Contrast	5	[12.  0.]	6	12	0.42515196599970295	5.215842180999971
Afterimage_Contrast	6	[-12.   0.]	7	11	1.1545693550001488	7.36468089400023
Afterimage_Contrast	7	[-12.   0.]	8	10	1.0584001439997337	8.867320271000153
Afterimage_Contrast	8	[12.  0.]	8	10	0.026089458000114973	5.616145306999897
Afterimage_Contrast	9	[-12.   0.]	7	11	0.692095349000283	6.467959337999673
Afterimage_Contrast	10	[-12.   0.]	6	11	0.5072853199999372	6.016034837999996
Afterimage_Contrast	11	[-12.   0.]	6	12	0.32641307499989125	6.0492036200002985
Afterimage_Contrast	12	[12.  0.]	6	11	3.591220493000037	4.081459629999699
Afterimage_Contrast	13	[12.  0.]	8	12	0.4714586430000054	4.864771621000273
Afterimage_Contrast	14	[-12.   0.]	7	11	0.9084967969997706	6.199011002000134
Afterimage_Contrast	15	[12.  0.]	7	11	0.35864598999978625	7.199065555000288
Afterimage_Contrast	16	[-12.   0.]	8	10	0.5747760329995799	5.616482048000307
Afterimage_Contrast	17	[-12.   0.]	6	10	0.9757317240000702	5.315883725999811
Afterimage_Contrast	18	[12.  0.]	7	10	1.0412315650000892	4.117040301000088
Afterimage_Contrast	19	[12.  0.]	8	11	0.7917597109999406	4.549774253000123
Afterimage_Contrast	20	[-12.   0.]	7	11	0.5928221020003548	5.565914378999878
Afterimage_Contrast	21	[12.  0.]	8	12	1.209767882000051	4.832420378000279
Afterimage_Contrast	22	[-12.   0.]	8	11	0.49226316900012534	5.349535403000118
Afterimage_Contrast	23	[-12.   0.]	8	11	0.7259000889998788	5.365700647000267
Afterimage_Contrast	24	[-12.   0.]	7	11	0.40850652100016305	6.649063185999694
Afterimage_Contrast	25	[12.  0.]	6	10	1.0081228579997514	4.799235570000292
Afterimage_Contrast	26	[-12.   0.]	6	12	0.8255563180000536	6.215661159999854
Afterimage_Contrast	27	[-12.   0.]	6	12	1.208011424000233	5.782611849999739
Afterimage_Contrast	28	[12.  0.]	8	11	1.5242527340001288	5.165611394999814
Afterimage_Contrast	29	[12.  0.]	6	12	0.625401846999921	6.049368182000308
Afterimage_Contrast	30	[12.  0.]	6	11	0.3580010770001536	8.532111537999754
Afterimage_Contrast	31	[-12.   0.]	6	12	1.0430223290004506	5.165548389999458
Afterimage_Contrast	32	[12.  0.]	8	11	0.5273754190002364	5.332354110999404
Afterimage_Contrast	33	[-12.   0.]	8	12	0.0939512980003201	7.479319776000011
Afterimage_Contrast	34	[-12.   0.]	7	11	0.8245329010005662	8.982170913999653
Afterimage_Contrast	35	[-12.   0.]	8	12	1.123655917999713	7.132885736999924
Afterimage_Contrast	36	[12.  0.]	7	12	0.29128210399994714	5.466051219999827
Afterimage_Contrast	37	[-12.   0.]	7	11	0.6068117670001811	6.866327357000046
Afterimage_Contrast	38	[12.  0.]	8	10	0.5929459029994177	7.298009840000304
Afterimage_Contrast	39	[-12.   0.]	6	10	0.3245473019997007	7.747267017000013
Afterimage_Contrast	40	[12.  0.]	8	12	0.2745402179998564	6.263860051000847
Afterimage_Contrast	41	[12.  0.]	6	12	0.8894397900003241	6.865377160000207
Afterimage_Contrast	42	[12.  0.]	6	10	1.5893802820000928	5.499437810000018
Afterimage_Contrast	43	[12.  0.]	7	10	0.2592419410002549	7.316093577000174
