Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	6	12	10	9
Real_Blur	2	[12, 0]	7	12	5	6
Real_Blur	3	[12, 0]	6	11	15	6
Real_Blur	4	[-12, 0]	7	11	5	None
Real_Blur	5	[-12, 0]	7	12	10	9
Real_Blur	6	[12, 0]	7	10	15	7
Real_Blur	7	[-12, 0]	7	10	10	7
Real_Blur	8	[-12, 0]	7	12	10	21
Real_Blur	9	[12, 0]	8	10	5	7
Real_Blur	10	[12, 0]	7	12	5	6
Real_Blur	11	[12, 0]	8	12	10	7
Real_Blur	12	[-12, 0]	6	12	5	9
Real_Blur	13	[12, 0]	8	12	15	3
Real_Blur	14	[12, 0]	6	12	5	4
Real_Blur	15	[-12, 0]	6	11	15	14
Real_Blur	16	[-12, 0]	6	12	15	12
Real_Blur	17	[-12, 0]	7	11	15	16
Real_Blur	18	[12, 0]	8	10	15	10
Real_Blur	19	[-12, 0]	7	11	10	21
Real_Blur	20	[-12, 0]	7	12	15	12
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[12, 0]	7	10	8
Afterimage_Blur	2	[12, 0]	6	11	7
Afterimage_Blur	3	[-12, 0]	6	10	10
Afterimage_Blur	4	[-12, 0]	7	12	9
Afterimage_Blur	5	[12, 0]	6	10	9
Afterimage_Blur	6	[12, 0]	7	11	8
Afterimage_Blur	7	[12, 0]	6	10	8
Afterimage_Blur	8	[-12, 0]	7	12	9
Afterimage_Blur	9	[12, 0]	7	12	9
Afterimage_Blur	10	[-12, 0]	8	11	9
Afterimage_Blur	11	[12, 0]	8	12	9
Afterimage_Blur	12	[-12, 0]	6	11	14
Afterimage_Blur	13	[-12, 0]	8	12	9
Afterimage_Blur	14	[-12, 0]	8	12	7
Afterimage_Blur	15	[12, 0]	7	11	9
Afterimage_Blur	16	[12, 0]	6	12	9
Afterimage_Blur	17	[-12, 0]	7	10	7
Afterimage_Blur	18	[-12, 0]	8	12	6
Afterimage_Blur	19	[-12, 0]	6	10	9
Afterimage_Blur	20	[-12, 0]	7	11	11
Afterimage_Blur	21	[-12, 0]	7	12	5
Afterimage_Blur	22	[12, 0]	6	12	13
Afterimage_Blur	23	[12, 0]	8	12	10
Afterimage_Blur	24	[12, 0]	8	10	13
Afterimage_Blur	25	[-12, 0]	8	11	11
Afterimage_Blur	26	[-12, 0]	7	10	10
Afterimage_Blur	27	[12, 0]	8	10	11
Afterimage_Blur	28	[-12, 0]	7	11	5
Afterimage_Blur	29	[12, 0]	6	12	10
Afterimage_Blur	30	[12, 0]	8	12	7
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[12, 0]	6
Real_Contrast	2	[-12, 0]	8
Real_Contrast	3	[12, 0]	7
Real_Contrast	4	[12, 0]	6
Real_Contrast	5	[-12, 0]	8
Real_Contrast	6	[-12, 0]	8
Real_Contrast	7	[12, 0]	7
Real_Contrast	8	[-12, 0]	8
Real_Contrast	9	[-12, 0]	8
Real_Contrast	10	[12, 0]	8
Real_Contrast	11	[-12, 0]	6
Real_Contrast	12	[-12, 0]	8
Real_Contrast	13	[-12, 0]	7
Real_Contrast	14	[12, 0]	8
Real_Contrast	15	[12, 0]	6
Real_Contrast	16	[-12, 0]	7
Real_Contrast	17	[12, 0]	7
Real_Contrast	18	[12, 0]	6
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[12.  0.]	8	11	0.13975961599953735	5.900278052999965
Afterimage_Contrast	2	[12.  0.]	6	10	0.7581863949999388	5.515858102000493
Afterimage_Contrast	3	[12.  0.]	8	11	0.15922295299969846	7.882294877999811
Afterimage_Contrast	4	[-12.   0.]	7	10	0.7593594330000997	8.448704131999875
Afterimage_Contrast	5	[-12.   0.]	7	11	1.1089827710002282	8.680776307000087
Afterimage_Contrast	6	[12.  0.]	7	10	0.7926371209996432	6.251407988999745
Afterimage_Contrast	7	[-12.   0.]	7	10	0.8925788229998943	9.051030509000157
Afterimage_Contrast	8	[-12.   0.]	7	10	0.6745534880001287	8.515377171000182
Afterimage_Contrast	9	[-12.   0.]	8	11	0.05905810000058409	8.298038400000223
Afterimage_Contrast	10	[12.  0.]	6	12	0.1932811650003714	6.882427292999637
Afterimage_Contrast	11	[12.  0.]	6	11	0.9924579109992919	6.364428006000708
Afterimage_Contrast	12	[12.  0.]	7	10	0.05849342199962848	5.951582404999499
Afterimage_Contrast	13	[-12.   0.]	7	10	0.22582660899934126	9.147340325000187
Afterimage_Contrast	14	[12.  0.]	7	11	0.5096484730001976	6.418023084000197
Afterimage_Contrast	15	[12.  0.]	6	10	0.059968658999423496	8.965267148000748
Afterimage_Contrast	16	[-12.   0.]	6	10	0.5927054129997487	9.26749505600037
Afterimage_Contrast	17	[12.  0.]	6	12	0.8250848910001878	3.8325241450002068
Afterimage_Contrast	18	[-12.   0.]	8	12	0.659417953999764	8.833986472000106
Afterimage_Contrast	19	[-12.   0.]	8	11	0.9421026729996811	8.051160830000299
Afterimage_Contrast	20	[-12.   0.]	6	10	1.0263621840003907	6.997666958000082
Afterimage_Contrast	21	[12.  0.]	8	11	0.861493266999787	6.333400362999782
Afterimage_Contrast	22	[12.  0.]	7	11	0.6269467740003165	6.615904252999826
Afterimage_Contrast	23	[-12.   0.]	6	10	0.4086983919996783	9.5675714099998
Afterimage_Contrast	24	[-12.   0.]	6	12	0.6257040250002319	9.634148547999757
Afterimage_Contrast	25	[12.  0.]	6	10	0.3246011549999821	4.566093742000703
Afterimage_Contrast	26	[12.  0.]	7	11	0.24131323700021312	6.766195121000237
Afterimage_Contrast	27	[12.  0.]	7	11	0.8110480909999751	6.879739031999634
Afterimage_Contrast	28	[12.  0.]	6	12	0.5241111790001014	7.665921052999693
Afterimage_Contrast	29	[12.  0.]	7	10	0.04570868100017833	7.184109501999956
Afterimage_Contrast	30	[12.  0.]	7	11	0.36098701499940944	7.315237798999988
Afterimage_Contrast	31	[12.  0.]	6	12	0.6924714840006345	4.149751547000051
Afterimage_Contrast	32	[12.  0.]	6	10	0.3764730940001755	5.599117239999941
Afterimage_Contrast	33	[-12.   0.]	7	12	1.0101458940007433	6.249091804999807
Afterimage_Contrast	34	[-12.   0.]	7	12	0.5275861800000712	8.448794980000457
Afterimage_Contrast	35	[-12.   0.]	6	11	0.42546922200017434	8.401337280000007
Afterimage_Contrast	36	[-12.   0.]	6	12	0.22574949400041078	8.597471893999682
Afterimage_Contrast	37	[12.  0.]	8	12	0.944667441999627	5.334481054000207
Afterimage_Contrast	38	[-12.   0.]	6	11	0.6253808050005318	8.617662287999337
Afterimage_Contrast	39	[-12.   0.]	8	12	0.8590211410000848	8.615340109999124
Afterimage_Contrast	40	[-12.   0.]	8	11	0.9270014970006741	9.000496695999573
Afterimage_Contrast	41	[12.  0.]	6	12	0.5587967729998127	6.96574575700015
Afterimage_Contrast	42	[-12.   0.]	8	10	0.4749845880005523	7.832352906999404
Afterimage_Contrast	43	[-12.   0.]	6	12	0.5743247379996319	5.952974298000299
