Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value
Real_Blur	1	[12, 0]	6	11	15	22
Real_Blur	2	[-12, 0]	6	11	5	None
Real_Blur	3	[12, 0]	7	11	10	10
Real_Blur	4	[12, 0]	6	10	15	17
Real_Blur	5	[-12, 0]	7	12	15	10
Real_Blur	6	[-12, 0]	7	10	5	7
Real_Blur	7	[12, 0]	8	10	15	14
Real_Blur	8	[-12, 0]	8	11	5	11
Real_Blur	9	[12, 0]	7	12	10	6
Real_Blur	10	[12, 0]	8	12	15	9
Real_Blur	11	[12, 0]	8	11	10	5
Real_Blur	12	[-12, 0]	7	10	5	4
Real_Blur	13	[12, 0]	7	11	5	None
Real_Blur	14	[-12, 0]	6	11	10	10
Real_Blur	15	[-12, 0]	6	12	15	9
Real_Blur	16	[12, 0]	6	12	10	16
Real_Blur	17	[-12, 0]	7	12	15	12
Real_Blur	18	[-12, 0]	8	11	10	8
Real_Blur	19	[12, 0]	7	10	5	4
Real_Blur	20	[-12, 0]	8	11	15	14
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Selected_Blur_Value
Afterimage_Blur	1	[-12, 0]	8	11	7
Afterimage_Blur	2	[-12, 0]	6	12	9
Afterimage_Blur	3	[-12, 0]	6	12	[]
Afterimage_Blur	4	[-12, 0]	8	12	[]
Afterimage_Blur	5	[-12, 0]	7	11	[]
Afterimage_Blur	6	[-12, 0]	6	12	11
Afterimage_Blur	7	[12, 0]	8	11	2
Afterimage_Blur	8	[-12, 0]	8	11	8
Afterimage_Blur	9	[12, 0]	7	12	5
Afterimage_Blur	10	[12, 0]	7	10	3
Afterimage_Blur	11	[12, 0]	7	10	5
Afterimage_Blur	12	[12, 0]	7	11	4
Afterimage_Blur	13	[12, 0]	6	11	5
Afterimage_Blur	14	[12, 0]	6	11	6
Afterimage_Blur	15	[-12, 0]	7	12	4
Afterimage_Blur	16	[-12, 0]	6	11	2
Afterimage_Blur	17	[-12, 0]	8	10	7
Afterimage_Blur	18	[12, 0]	6	11	4
Afterimage_Blur	19	[12, 0]	6	12	5
Afterimage_Blur	20	[-12, 0]	8	12	5
Afterimage_Blur	21	[12, 0]	8	12	3
Afterimage_Blur	22	[-12, 0]	8	12	5
Afterimage_Blur	23	[12, 0]	7	12	3
Afterimage_Blur	24	[-12, 0]	8	12	4
Afterimage_Blur	25	[-12, 0]	6	12	8
Afterimage_Blur	26	[12, 0]	7	12	5
Afterimage_Blur	27	[12, 0]	7	11	5
Afterimage_Blur	28	[12, 0]	7	10	7
Afterimage_Blur	29	[-12, 0]	6	10	7
Afterimage_Blur	30	[12, 0]	7	11	4
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time
Real_Contrast	1	[12, 0]	7
Real_Contrast	2	[-12, 0]	6
Real_Contrast	3	[-12, 0]	6
Real_Contrast	4	[12, 0]	7
Real_Contrast	5	[-12, 0]	7
Real_Contrast	6	[12, 0]	8
Real_Contrast	7	[-12, 0]	8
Real_Contrast	8	[12, 0]	6
Real_Contrast	9	[-12, 0]	7
Real_Contrast	10	[-12, 0]	6
Real_Contrast	11	[12, 0]	7
Real_Contrast	12	[12, 0]	6
Real_Contrast	13	[12, 0]	8
Real_Contrast	14	[12, 0]	8
Real_Contrast	15	[-12, 0]	6
Real_Contrast	16	[12, 0]	6
Real_Contrast	17	[-12, 0]	8
Real_Contrast	18	[-12, 0]	7
Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Start	Afterimage_Duration
Afterimage_Contrast	1	[-12.   0.]	7	11	0.8077423400027328	10.034216995998577
Afterimage_Contrast	2	[12.  0.]	6	12	0.6946286849997705	6.996929512999486
Afterimage_Contrast	3	[12.  0.]	6	11	0.49371357999916654	10.332495130001917
Afterimage_Contrast	4	[12.  0.]	8	12	0.6106176340035745	10.09676292000222
Afterimage_Contrast	5	[12.  0.]	7	11	0.45897802599938586	6.831974849999824
Afterimage_Contrast	6	[-12.   0.]	6	10	0.3581274919997668	4.366430820999085
Afterimage_Contrast	7	[-12.   0.]	7	11	0.32530591700196965	5.101637483996456
Afterimage_Contrast	8	[12.  0.]	8	12	0.49265243300033035	7.615578922996065
Afterimage_Contrast	9	[-12.   0.]	6	11	0.35933738500170875	8.584561584997573
Afterimage_Contrast	10	[12.  0.]	8	11	0.24256856899592094	10.617168932003551
Afterimage_Contrast	11	[-12.   0.]	6	12	0.15765105199534446	11.43205254500208
Afterimage_Contrast	12	[12.  0.]	8	10	0.1434516790031921	9.74850976200105
Afterimage_Contrast	13	[12.  0.]	7	12	0.3409074510054779	11.631583016998775
Afterimage_Contrast	14	[12.  0.]	8	11	0.29104082599951653	10.13434642199718
Afterimage_Contrast	15	[-12.   0.]	6	11	0.24220867799886037	7.714538193002227
Afterimage_Contrast	16	[12.  0.]	7	12	0.37546918100269977	8.565620169996691
Afterimage_Contrast	17	[-12.   0.]	6	11	0.19198197399964556	10.784694816997217
Afterimage_Contrast	18	[-12.   0.]	7	10	0.17572280200693058	9.150809485996433
Afterimage_Contrast	19	[-12.   0.]	7	12	0.2430788860001485	9.198636776003696
Afterimage_Contrast	20	[12.  0.]	6	12	[]	[]
Afterimage_Contrast	21	[-12.   0.]	8	12	0.3587347289940226	7.915562008005509
Afterimage_Contrast	22	[12.  0.]	8	10	0.17572535799990874	9.567731959999946
Afterimage_Contrast	23	[-12.   0.]	7	12	0.19215286699909484	8.71516481100116
Afterimage_Contrast	24	[12.  0.]	8	12	0.4275533149993862	9.729448967998906
Afterimage_Contrast	25	[-12.   0.]	6	11	0.29172477099928074	9.498577892001776
Afterimage_Contrast	26	[-12.   0.]	8	12	0.24333457100146916	11.614696842996636
Afterimage_Contrast	27	[-12.   0.]	8	10	0.3237233020045096	9.535227806998591
Afterimage_Contrast	28	[-12.   0.]	6	11	0.2253736269994988	10.432030909003515
Afterimage_Contrast	29	[12.  0.]	6	11	0.29074128300271695	5.518309847997443
Afterimage_Contrast	30	[-12.   0.]	6	11	0.19181827200372936	10.767562285996974
Afterimage_Contrast	31	[-12.   0.]	8	12	0.36178200600261334	9.163488657002745
Afterimage_Contrast	32	[-12.   0.]	7	11	0.2926352029971895	9.682343323998793
Afterimage_Contrast	33	[12.  0.]	7	12	0.2429817459997139	7.6347152259986615
Afterimage_Contrast	34	[-12.   0.]	6	11	0.24177771000540815	8.935003370999766
Afterimage_Contrast	35	[-12.   0.]	8	11	0.3124915830048849	9.815241061995039
Afterimage_Contrast	36	[12.  0.]	6	12	0.22632376199908322	6.150862084999972
Afterimage_Contrast	37	[-12.   0.]	7	11	0.3246094509959221	10.15233526200609
Afterimage_Contrast	38	[-12.   0.]	8	12	0.35902689400245436	11.448526624000806
Afterimage_Contrast	39	[12.  0.]	7	10	0.462792360005551	9.512965089001227
Afterimage_Contrast	40	[-12.   0.]	6	12	0.7088777720055077	9.598346145998221
Afterimage_Contrast	41	[12.  0.]	6	11	0.29199753899592906	9.982115407001402
Afterimage_Contrast	42	[12.  0.]	6	11	0.42662535999988904	10.367609707995143
Afterimage_Contrast	43	[12.  0.]	8	12	0.2907122570031788	9.24926117099676
